make,model,complaints_distinct_odino
HARLEY-DAVIDSON,FLHXS,4
HARLEY-DAVIDSON,FLHTK,4
FREIGHTLINER,SPRINTER 2500,4
FREEDOM TRAILERS,FREEDOM TRAILERS,4
FOREST RIVER,VENGEANCE,4
FOREST RIVER,SURVEYOR,4
FOREST RIVER,GEORGETOWN,4
FORD,F-650 SD,4
FORD,F-550 SD,4
ENTEGRA,ANTHEM,4
DUCATI,SUPERSPORT,4
DETROIT CHASSIS,FORD MOTORHOME CHASSIS,4
BMW,K1600B,4
BMW,740I,4
BMW,440I,4
AUDI,A3 CABRIOLET,4
WINNEBAGO,MINNIE WINNIE,3
VOLVO,S90,3
SPARTAN,K2,3
ROYAL ENFIELD,HIMALAYAN,3
PETERBILT,389,3
NISSAN,NV200,3
MERCEDES-BENZ,S 450,3
MERCEDES-BENZ,E 450 4MATIC,3
MERCEDES-BENZ,AMG S63,3
MERCEDES-BENZ,AMG GT53,3
MERCEDES-BENZ,AMG GT,3
MERCEDES-BENZ,AMG GLC63,3
MAZDA,!MX-5,3
LEXUS,UX200,3
LEXUS,UX HYBRID,3
LEXUS,RX HYBRID,3
LEXUS,RC 350,3
LEXUS,LS500,3
LEXUS,LS HYBRID,3
KIA,SOUL EV,3
KEYSTONE,MONTANA HIGH COUNTRY,3
JAYCO,SENECA,3
JAYCO TRAVEL TRAILER,JAY FEATHER,3
JAYCO FIFTH WHEEL,PINNACLE,3
JAYCO FIFTH WHEEL,EAGLE HT,3
JAGUAR,F-TYPE,3
INFINITI,QX30,3
INDIAN,CHIEFTAIN DARK HORSE,3
INDIAN,CHIEFTAIN,3
INDIAN,CHIEF ROADMASTER,3
HYUNDAI,VELOSTER N,3
HYUNDAI,NEXO,3
HONDA,CLARITY ELECTRIC,3
HONDA,CIVIC HATCHBACK,3
HONDA,CBR600RR,3
HONDA,CB300R,3
HIGHLAND RIDGE FW,OPEN RANGE,3
HARLEY-DAVIDSON,FLHT,3
GREENPOWER,EV STAR BUS,3
GMC,YUKON DENALI,3
FOREST RIVER,SUNSEEKER,3
FOREST RIVER,FREEDOM EXPRESS,3
FORD,F53,3
FORD,F-53,3
FORD,F-450 SD,3
FORD,E-350,3
FIAT,500X,3
DUCATI,SCRAMBLER,3
DUCATI,HYPERMOTARD,3
DRV,MOBILE SUITE,3
COACHMEN,FREEDOM EXPRESS,3
CHEVROLET,duplicate SILVERADO 5500,3
BMW,X2,3
BMW,R1250 GS ADVENTURE,3
BMW,K 1600 GTL,3
AUTOCAR,XPEDITOR,3
AUDI,RS 5,3
AUDI,A4 ALLROAD,3
WINNEBAGO,VISTA,2
WINNEBAGO,TRAVATO,2
WINNEBAGO,ADVENTURER,2
VANLEIGH,BEACON,2
VANDERHALL,VENICE,2
TRIUMPH,SPEED TWIN,2
