# Zilocar census of ACTIVE DO-NOT-DRIVE recall campaigns, from NHTSA ODI recalls flat file FLAT_RCL_POST_2010.txt (static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip). Retrieved/processed 2026-09-15; archive member timestamp 2026-09-15 07:02 UTC; 245,599 rows; 13,616 distinct RCLTYPECD='V' campaigns; newest RCDATE inside = 2026-09-10.
# FILTER: RCLTYPECD='V' AND the structured do-not-drive advisory field = 'Yes'. That field is the 28th of 29 tab-separated fields (0-indexed 27); the 29th (0-indexed 28) is the PARK-OUTSIDE advisory and is reported here as park_outside_advisory. The two were told apart by cross-checking campaigns against NHTSA's own API (parkIt vs parkOutSide) rather than assumed from position: 12V336000 and 13V103000 return parkIt=true/parkOutSide=false, 15V335000 and 18V601000 the reverse, 22V541000 both true.
# POTAFF (potentially affected units) is taken ONCE PER CAMPAIGN, never summed across a campaign's component rows. All 202 campaigns' rows agreed on POTAFF, so this choice is unambiguous.
# TOTALS: 202 campaigns / 20,908,823 units across NHTSA's whole 'V' class. Of these, 108 campaigns / 20,752,140 units are CARS AND LIGHT TRUCKS (vehicle_class=light), and 94 campaigns / 156,683 units are NOT (motorcycles, buses, heavy trucks, motorhomes, trailers, industrial equipment) -- 46.5% of campaigns but only 0.75% of units. Use the light subset for any claim about used CARS.
# CAVEAT: POTAFF is units potentially affected AT LAUNCH, not vehicles still on the road or still unrepaired today. This file is not a count of unrepaired VINs and cannot be read as one.
# vehicle_class was assigned by Zilocar from MAKETXT/MODELTXT, not by NHTSA; NHTSA's 'V' class does not distinguish light vehicles. Note 'ESCAPE' here is Escape Trailer Industries (travel trailers), NOT the Ford Escape, and MERCEDES BENZ / MERCEDES-BENZ are two MAKETXT spellings of one manufacturer.
campaign_number,vehicle_class,potentially_affected_units,manufacturer,makes,models,model_year_min,model_year_max,newest_my_2016_or_older,components,airbag_component,park_outside_advisory,recall_report_date
20V814000,other,18203,"Yamaha Motor Corporation, USA",YAMAHA,FJR1300; MT-10; MTT9GT; MXTGTKL; TRACER 9 GT; XTZ12; XV1900; XV1900B,2013,2021,no,EXTERIOR LIGHTING:BRAKE LIGHTS:SWITCH,no,No,20201228
16V097000,other,18116,Volvo Trucks North America,VOLVO,VNL; VNM; VNX,2016,2017,no,STEERING,no,No,20160217
25V376000,other,17792,"Kawasaki Motors Corp., U.S.A.",KAWASAKI,NINJA ZX-6R,2024,2025,no,ENGINE AND ENGINE COOLING:ENGINE:HARD PARTS INTERNAL/MECHANICAL,no,No,20250707
21V390000,light,17616,Ford Motor Company,FORD,F-350 SD; F-450 SD; F-550 SD; F-600 SD,2021,2021,no,POWER TRAIN:AXLE HUBS,no,No,20210525
17V806000,light,17576,Mazda Motor Corp.,MAZDA,B-SERIES TRUCK,2004,2006,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20171214
17V807000,light,17576,Mazda Motor Corp.,MAZDA,B-SERIES TRUCK,2004,2006,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20171214
14V368000,light,16900,Hyundai Motor America,HYUNDAI,SONATA,2015,2015,yes,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER",no,No,20140624
26V090000,light,15965,Ford Motor Company,FORD,TRANSIT,2025,2025,no,"SERVICE BRAKES, HYDRAULIC:PEDALS AND LINKAGES",no,No,20260217
24V298000,light,15604,"Mercedes-Benz USA, LLC",MERCEDES BENZ; MERCEDES-BENZ,AMG ML63; AMG R63; GL320; GL350; GL450; GL550; ML320; ML350; ML450; ML500; ML550; R320,2006,2012,yes,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:VACUUM",no,No,20240426
15V621000,light,14411,Mazda Motor Corp.,MAZDA,MAZDA3,2015,2016,yes,"FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY",no,No,20151002
16V947000,light,12691,"Chrysler (FCA US, LLC)",CHRYSLER; DODGE,ASPEN; DURANGO; RAM 3500; redundant RAM 3500,2009,2010,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20161222
18V369000,light,10225,"Volkswagen Group of America, Inc.",AUDI; VOLKSWAGEN,ATLAS; BEETLE; BEETLE CONVERTIBLE; GOLF; GOLF SPORTWAGEN; GTI; PASSAT; Q5; SQ5,2018,2018,no,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER",no,No,20180601
22V503000,other,9353,"Bombardier Recreational Products, Inc.",CAN-AM,RYKER,2022,2022,no,STEERING: STEERING WHEEL/HANDLE BAR,no,No,20220713
12V336000,light,9320,Ford Motor Company,FORD,ESCAPE,2013,2013,yes,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",no,No,20120718
19V851000,light,7910,"BMW of North America, LLC",BMW,323I; 328I,1999,1999,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20191126
24V433000,other,7410,PACCAR Incorporated,KENWORTH; PETERBILT,220; 520; 536; 537; 548; 567; 579; 589; K270; K370; L770; T280,2025,2025,no,STEERING:LINKAGES:DRAG:LINK:CONNECTION; STEERING:LINKAGES:TIE ROD ASSEMBLY,no,No,20240612
25V748000,light,5361,"BMW of North America, LLC",BMW,X5,2000,2001,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20251031
16V499000,light,5038,Mazda Motor Corp.,MAZDA,B-SERIES TRUCK,2007,2009,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20160701
22V367000,other,4970,"International Motors, LLC",IC BUS,CE; CESB; EV; RE; RESB,2022,2023,no,STEERING: STEERING WHEEL/HANDLE BAR,no,No,20220523
26V340000,light,4653,Ford Motor Company,FORD,BRONCO SPORT; MAVERICK,2021,2026,no,SUSPENSION:FRONT:CONTROL ARM:LOWER BALL JOINT,no,No,20260527
14V316000,light,4647,Ford Motor Company,FORD,F-150,2014,2014,yes,STEERING:ELECTRIC POWER ASSIST SYSTEM,no,No,20140612
19V070000,light,4358,"Daimler Vans USA, LLC",MERCEDES-BENZ,SPRINTER (VS30),2019,2019,no,STEERING:GEAR BOX:SHAFT SECTOR,no,No,20190131
21V251000,other,4262,"Yamaha Motor Corporation, USA",YAMAHA,XC155,2015,2020,no,ENGINE,no,No,20210409
18V404000,light,4184,Mazda Motor Corp.,MAZDA,MPV; RX-8,2005,2009,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20180615
26V367000,other,4173,"Yamaha Motor Corporation, USA",YAMAHA,XTZ690,2025,2025,no,EXTERIOR LIGHTING:TURN SIGNAL,no,No,20260605
13V103000,light,4051,"Chrysler (FCA US, LLC)",DODGE,CHALLENGER,2013,2013,yes,ELECTRICAL SYSTEM:WIRING:FRONT UNDERHOOD,no,No,20130321
