make,model,stall_complaints,total_complaints,stall_share
FORD,PROBE,67,1186,0.0565
MAZDA,B-SERIES TRUCK,67,690,0.0971
CHRYSLER,300M,67,880,0.0761
FORD,EXPLORER SPORT,67,721,0.0929
LEXUS,RX330,67,523,0.1281
LEXUS,ES,67,662,0.1012
MITSUBISHI,LANCER,66,863,0.0765
INFINITI,M45,66,279,0.2366
ISUZU,TROOPER,65,569,0.1142
OLDSMOBILE,AURORA,65,782,0.0831
MAZDA,RX-8,65,782,0.0831
KIA,AMANTI,65,245,0.2653
SUZUKI,VERONA,65,216,0.3009
INFINITI,QX56,65,537,0.1210
ALFA ROMEO,GIULIA,65,273,0.2381
TOYOTA,4 RUNNER,64,1006,0.0636
MERCURY,MONTEGO,64,257,0.2490
HYUNDAI,AZERA,64,712,0.0899
NISSAN,KICKS,64,501,0.1277
GMC,SAFARI,63,1130,0.0558
INFINITI,G37,63,534,0.1180
BUICK,VERANO,63,439,0.1435
MERCURY,MARQUIS,62,396,0.1566
MERCEDES-BENZ,SPRINTER 3500,62,311,0.1994
JAGUAR,X-TYPE,61,301,0.2027
BUICK,SKYLARK,60,521,0.1152
OLDSMOBILE,SILHOUETTE,60,943,0.0636
YAMAHA,YZFR1,60,114,0.5263
MERCEDES BENZ,E320,59,1160,0.0509
LAND ROVER,RANGE ROVER SPORT,59,623,0.0947
LINCOLN,MKS,58,373,0.1555
ACURA,CL,57,580,0.0983
JAGUAR,XJ8,57,176,0.3239
CHEVROLET,EXPRESS,57,628,0.0908
VOLVO,XC70,57,418,0.1364
AUDI,A3,57,722,0.0789
FORD,FOCUS ELECTRIC,57,181,0.3149
LINCOLN,MARK VIII,56,824,0.0680
VOLKSWAGEN,ATLAS CROSS SPORT,56,464,0.1207
HONDA,CR-V HYBRID,56,474,0.1181
MITSUBISHI,MIRAGE,55,696,0.0790
CADILLAC,ELDORADO,55,485,0.1134
AUDI,A8,55,250,0.2200
LAND ROVER,FREELANDER,55,453,0.1214
MERCEDES-BENZ,C300,55,2214,0.0248
TOYOTA,PRIUS V,55,473,0.1163
KIA,SPORTAGE HYBRID,55,131,0.4198
HONDA,INSIGHT,54,511,0.1057
KIA,RONDO,54,296,0.1824
PORSCHE,TAYCAN,54,268,0.2015
JEEP,GRAND CHEROKEE 4XE,54,267,0.2022
GEO,STORM,53,271,0.1956
CHEVROLET,BOLT EV,53,968,0.0548
LEXUS,LS400,52,334,0.1557
BMW,3 SERIES,52,823,0.0632
VOLVO,XC60,52,631,0.0824
MERCEDES-BENZ,SPRINTER 2500,52,390,0.1333
GENESIS,GV70,52,226,0.2301
CADILLAC,DTS,51,523,0.0975
TOYOTA,CELICA,50,411,0.1217
LEXUS,ES 330,50,153,0.3268
JEEP,WRANGLER 4XE,50,233,0.2146
