# Zilocar analysis of NHTSA ODI complaints (FLAT_CMPL.txt, Last-Modified 2026-09-09 10:22 UTC, retrieved 2026-09-10).
# Universe: PROD_TYPE='V', model years 2015-2022, deduplicated on ODINO = 325,275 distinct complaints across 2,228 make/model labels.
# severe = CRASH='Y' OR INJURED>0 OR DEATHS>0, all self-reported and unverified.
# REVERSAL COLUMN: airbag-cited complaints are 4.9% of all complaints but 30.4% of severe ones, because an airbag complaint is near-definitionally crash-linked.
# severe_share_ex_airbag_pct removes every complaint citing AIR BAGS. Under it the Toyota Corolla falls from 1st (18.2%) to 5th (8.5%) and the Tesla Model X leads at 13.0%.
# Labels are exactly as NHTSA spells them, unmerged. Counts are distinct complaints, not vehicles or owners. No sales denominator exists in this file.
make,model,model_years,complaints,severe,severe_share_pct,crash_reports,injury_reports,death_reports,severe_citing_airbags,airbag_pct_of_severe,complaints_ex_airbag,severe_ex_airbag,severe_share_ex_airbag_pct
BUICK,REGAL,2015-2020,133,10,7.52,7,7,0,2,20.0,128,8,6.25
GMC,SIERRA,2015-2017,120,10,8.33,10,1,0,3,30.0,113,7,6.19
HARLEY-DAVIDSON,XG750,2015-2018,88,10,11.36,9,6,1,0,0.0,88,10,11.36
LEXUS,NX200T,2015-2017,33,10,30.3,10,7,0,5,50.0,27,5,18.52
LINCOLN,AVIATOR,2020-2022,190,10,5.26,7,4,0,3,30.0,186,7,3.76
MERCEDES-BENZ,CLA 250,2018-2022,90,10,11.11,6,8,0,4,40.0,79,6,7.59
MERCEDES-BENZ,GLE350,2016-2017,112,10,8.93,10,4,0,2,20.0,107,8,7.48
NISSAN,REDUNDANT ROGUE SPORT,2020-2022,31,10,32.26,10,6,0,4,40.0,26,6,23.08
VOLVO,S60,2015-2022,160,10,6.25,7,4,0,2,20.0,155,8,5.16
BMW,330I,2017-2022,201,9,4.48,7,7,0,4,44.4,187,5,2.67
FORD,MAVERICK,2022-2022,150,9,6.0,8,4,0,3,33.3,141,6,4.26
HONDA,GL1800,2015-2022,64,9,14.06,7,5,0,0,0.0,64,9,14.06
LAND ROVER,RANGE ROVER VELAR,2018-2022,103,9,8.74,5,7,0,1,11.1,101,8,7.92
LEXUS,GX460,2015-2022,33,9,27.27,9,4,0,1,11.1,30,8,26.67
MAZDA,CX-3,2016-2021,111,9,8.11,9,2,0,2,22.2,106,7,6.6
MINI,CLUBMAN,2015-2022,51,9,17.65,9,4,0,4,44.4,47,5,10.64
NISSAN,JUKE,2015-2017,76,9,11.84,8,2,0,2,22.2,70,7,10.0
PORSCHE,MACAN,2015-2022,204,9,4.41,9,1,0,2,22.2,152,7,4.61
AUDI,A3,2015-2022,284,8,2.82,6,5,0,1,12.5,155,7,4.52
AUDI,Q3,2015-2022,205,8,3.9,6,3,0,1,12.5,191,7,3.66
BMW,I3,2015-2019,158,8,5.06,7,4,0,2,25.0,141,6,4.26
BUICK,ENCORE GX,2020-2022,151,8,5.3,7,5,0,3,37.5,147,5,3.4
FORD,C-MAX ENERGI,2015-2017,57,8,14.04,8,2,0,1,12.5,56,7,12.5
FORD,MAVERICK HYBRID,2022-2022,459,8,1.74,6,3,0,1,12.5,444,7,1.58
GENESIS,G70,2019-2022,110,8,7.27,8,1,0,2,25.0,107,6,5.61
GENESIS,GV70,2022-2022,92,8,8.7,8,2,1,2,25.0,90,6,6.67
