# Zilocar analysis of NHTSA ODI complaints (FLAT_CMPL.txt, Last-Modified 2026-09-09 10:22 UTC, retrieved 2026-09-10).
# Universe: PROD_TYPE='V', model years 2015-2022, deduplicated on ODINO = 325,275 distinct complaints across 2,228 make/model labels.
# severe = CRASH='Y' OR INJURED>0 OR DEATHS>0, all self-reported and unverified.
# REVERSAL COLUMN: airbag-cited complaints are 4.9% of all complaints but 30.4% of severe ones, because an airbag complaint is near-definitionally crash-linked.
# severe_share_ex_airbag_pct removes every complaint citing AIR BAGS. Under it the Toyota Corolla falls from 1st (18.2%) to 5th (8.5%) and the Tesla Model X leads at 13.0%.
# Labels are exactly as NHTSA spells them, unmerged. Counts are distinct complaints, not vehicles or owners. No sales denominator exists in this file.
make,model,model_years,complaints,severe,severe_share_pct,crash_reports,injury_reports,death_reports,severe_citing_airbags,airbag_pct_of_severe,complaints_ex_airbag,severe_ex_airbag,severe_share_ex_airbag_pct
LEXUS,IS,2015-2022,35,1,2.86,1,0,0,0,0.0,35,1,2.86
LEXUS,IS 250,2015-2016,17,1,5.88,1,0,0,1,100.0,13,0,0.0
LEXUS,IS 350,2015-2020,9,1,11.11,0,1,0,0,0.0,9,1,11.11
LEXUS,IS F,2016-2017,2,1,50.0,1,1,0,1,100.0,1,0,0.0
LEXUS,LS,2015-2021,27,1,3.7,1,1,0,1,100.0,26,0,0.0
LEXUS,LS460,2015-2017,7,1,14.29,0,1,0,0,0.0,7,1,14.29
LEXUS,NX350H,2022-2022,1,1,100.0,1,0,0,0,0.0,1,1,100.0
LEXUS,RC,2015-2022,11,1,9.09,1,0,0,0,0.0,11,1,9.09
LEXUS,RC 300,2016-2018,2,1,50.0,1,0,0,0,0.0,2,1,50.0
LEXUS,RC 350,2015-2020,14,1,7.14,1,1,0,0,0.0,14,1,7.14
LEXUS,UX200,2019-2021,5,1,20.0,1,0,0,0,0.0,5,1,20.0
LINCOLN,CORSAIR PHEV,2021-2022,31,1,3.23,1,1,0,1,100.0,30,0,0.0
LINCOLN,MKS,2015-2016,20,1,5.0,0,1,0,0,0.0,18,1,5.56
MAC TRAILERS,DUMP TRAILER,2020-2020,1,1,100.0,1,0,0,0,0.0,1,1,100.0
MACK,ANTHEM (AN),2019-2021,6,1,16.67,1,0,0,1,100.0,5,0,0.0
MACK,GRANITE (GU),2015-2018,3,1,33.33,1,1,0,0,0.0,3,1,33.33
MASERATI,QUATTROPORTE,2015-2021,11,1,9.09,1,0,0,0,0.0,11,1,9.09
MCLAREN,MP4-12C SPIDER,2015-2015,1,1,100.0,1,1,0,1,100.0,0,0,
MERCEDES BENZ,REDUNDANT S550E,2015-2015,7,1,14.29,1,0,0,0,0.0,7,1,14.29
MERCEDES BENZ,SPRINTER 2500,2015-2015,14,1,7.14,1,0,0,0,0.0,12,1,8.33
MERCEDES-BENZ,AMG A35,2020-2021,2,1,50.0,1,0,0,0,0.0,2,1,50.0
MERCEDES-BENZ,AMG C43,2016-2022,58,1,1.72,1,0,0,0,0.0,56,1,1.79
MERCEDES-BENZ,AMG C63,2015-2019,11,1,9.09,1,0,0,1,100.0,9,0,0.0
MERCEDES-BENZ,AMG CLA35,2020-2022,7,1,14.29,1,1,0,0,0.0,7,1,14.29
MERCEDES-BENZ,AMG E63S,2015-2020,8,1,12.5,0,1,0,0,0.0,8,1,12.5
MERCEDES-BENZ,AMG EQS 53,2022-2022,1,1,100.0,1,0,0,0,0.0,1,1,100.0
MERCEDES-BENZ,AMG GLA45,2015-2021,18,1,5.56,1,0,0,0,0.0,17,1,5.88
MERCEDES-BENZ,AMG GLC43,2017-2022,30,1,3.33,1,1,0,1,100.0,29,0,0.0
MERCEDES-BENZ,AMG GLC63,2018-2021,8,1,12.5,0,1,0,0,0.0,8,1,12.5
MERCEDES-BENZ,AMG GLE63,2016-2021,8,1,12.5,1,0,0,0,0.0,8,1,12.5
MERCEDES-BENZ,AMG GLS63,2017-2021,7,1,14.29,0,1,0,0,0.0,7,1,14.29
MERCEDES-BENZ,AMG SL55,2022-2022,4,1,25.0,0,1,0,0,0.0,4,1,25.0
MERCEDES-BENZ,C 250 D,2018-2018,1,1,100.0,1,1,0,0,0.0,1,1,100.0
MERCEDES-BENZ,CLS 450,2019-2022,23,1,4.35,1,1,0,1,100.0,22,0,0.0
MERCEDES-BENZ,E 400,2018-2018,21,1,4.76,1,0,0,1,100.0,20,0,0.0
MERCEDES-BENZ,EQS 580,2022-2022,6,1,16.67,0,1,0,0,0.0,6,1,16.67
MERCEDES-BENZ,G 550,2019-2022,14,1,7.14,1,1,0,0,0.0,14,1,7.14
MERCEDES-BENZ,GL350,2015-2017,12,1,8.33,1,0,0,0,0.0,12,1,8.33
MERCEDES-BENZ,GLC 350,2018-2020,8,1,12.5,1,0,0,0,0.0,8,1,12.5
MERCEDES-BENZ,GLE,2016-2020,8,1,12.5,1,0,0,0,0.0,8,1,12.5
MERCEDES-BENZ,GLE 450,2020-2022,55,1,1.82,1,0,0,0,0.0,54,1,1.85
MERCEDES-BENZ,GLE 550 E,2018-2018,3,1,33.33,1,0,0,0,0.0,3,1,33.33
MERCEDES-BENZ,GLE300D,2016-2017,9,1,11.11,1,0,0,0,0.0,9,1,11.11
MERCEDES-BENZ,GLE400,2016-2016,6,1,16.67,1,0,0,0,0.0,6,1,16.67
MERCEDES-BENZ,ML400,2015-2015,4,1,25.0,1,0,1,0,0.0,4,1,25.0
MERCEDES-BENZ,S 450,2018-2020,14,1,7.14,1,0,0,0,0.0,14,1,7.14
MERCEDES-BENZ,S 500,2021-2022,21,1,4.76,0,1,0,0,0.0,21,1,4.76
MERCEDES-BENZ,SL 550,2020-2020,1,1,100.0,1,1,0,0,0.0,1,1,100.0
MERCEDES-BENZ,SPRINTER (VS30),2019-2020,8,1,12.5,1,0,0,0,0.0,8,1,12.5
MERCEDES-BENZ,SPRINTER 4500,2016-2020,11,1,9.09,1,0,0,0,0.0,11,1,9.09
MINI,COOPER CONVERTIBLE,2016-2022,14,1,7.14,0,1,0,0,0.0,14,1,7.14
MINI,JCW,2015-2017,3,1,33.33,1,0,0,0,0.0,3,1,33.33
MIRAGE,CARGO TRAILERS,2019-2019,2,1,50.0,1,0,0,0,0.0,2,1,50.0
MITSUBISHI,OUTLANDER PHEV,2018-2022,17,1,5.88,1,0,0,0,0.0,17,1,5.88
NEW FLYER,XD60,2017-2017,1,1,100.0,1,0,0,0,0.0,1,1,100.0
NEW FLYER,XT40,2015-2015,1,1,100.0,0,1,0,0,0.0,1,1,100.0
NEWMAR,NEW AIRE,2018-2022,21,1,4.76,1,0,0,0,0.0,21,1,4.76
NISSAN,NV3500,2017-2017,19,1,5.26,0,1,0,0,0.0,19,1,5.26
NISSAN,QUEST,2015-2017,31,1,3.23,0,1,0,0,0.0,28,1,3.57
NISSAN,REDUNDANT ALTIMA,2020-2020,21,1,4.76,1,1,0,1,100.0,20,0,0.0
NISSAN,REDUNDANT ROGUE,2022-2022,25,1,4.0,0,1,0,0,0.0,25,1,4.0
NORTH CENTRAL EMERGENCY,FORD E-350,2017-2018,3,1,33.33,1,0,0,0,0.0,3,1,33.33
OUTDOORS RV,GLACIER PEAK,2015-2017,4,1,25.0,0,1,0,0,0.0,4,1,25.0
PETERBILT,579,2015-2022,31,1,3.23,1,0,0,0,0.0,31,1,3.23
PIERCE,ARROW XT,2016-2016,8,1,12.5,0,1,0,0,0.0,8,1,12.5
PIERCE,SABER,2016-2017,3,1,33.33,0,1,0,0,0.0,3,1,33.33
POLARIS,SLINGSHOT S,2021-2021,1,1,100.0,1,1,0,0,0.0,1,1,100.0
POLARIS,SPORTSMAN,2016-2016,2,1,50.0,1,1,0,0,0.0,2,1,50.0
PORSCHE,718 CAYMAN,2016-2022,16,1,6.25,0,1,0,0,0.0,13,1,7.69
RAM,3500 CAB CHASSIS,2018-2018,2,1,50.0,1,0,0,1,100.0,1,0,0.0
RAM,PROMASTER 2500,2015-2021,30,1,3.33,1,1,0,0,0.0,30,1,3.33
RAM,PROMASTER 3500,2016-2016,13,1,7.69,1,0,0,0,0.0,12,1,8.33
ROKETA,YOUNGFU,2016-2016,1,1,100.0,1,1,0,0,0.0,1,1,100.0
ROYAL ENFIELD,BULLET ELECTRA EFI,2016-2016,1,1,100.0,0,1,0,0,0.0,1,1,100.0
RZR,900,2015-2015,1,1,100.0,1,1,0,0,0.0,1,1,100.0
SCION,FR-S,2015-2016,17,1,5.88,1,0,0,1,100.0,16,0,0.0
SCION,IM,2016-2016,12,1,8.33,1,1,0,0,0.0,12,1,8.33
SCION,IQ,2015-2015,1,1,100.0,1,0,0,1,100.0,0,0,
SHASTA,AIRFLYTE,2015-2016,34,1,2.94,1,0,0,0,0.0,34,1,2.94
SUBARU,IMPREZA WRX,2015-2015,2,1,50.0,0,1,0,0,0.0,2,1,50.0
SUBARU,WRX STI,2015-2019,9,1,11.11,1,1,0,1,100.0,8,0,0.0
SUZUKI,GSX-S1000GT,2022-2022,1,1,100.0,1,1,0,0,0.0,1,1,100.0
T.A. PELSUE COMPANY,TRADESMAN FIBERLITE XL,2022-2022,1,1,100.0,1,0,0,0,0.0,1,1,100.0
TAOTAO,ATM50-A,2015-2015,1,1,100.0,1,1,0,0,0.0,1,1,100.0
TAOTAO,RACER50,2017-2017,1,1,100.0,0,1,0,0,0.0,1,1,100.0
THOMAS BUILT BUSES,SAF-T-LINER C2,2015-2022,5,1,20.0,1,1,0,0,0.0,5,1,20.0
THOR,PALAZZO,2015-2019,10,1,10.0,0,1,0,0,0.0,10,1,10.0
THOR MOTOR COACH,ARIA,2017-2022,10,1,10.0,1,0,0,0,0.0,10,1,10.0
THOR MOTOR COACH,CHATEAU,2015-2021,12,1,8.33,0,1,0,0,0.0,12,1,8.33
THOR MOTOR COACH,FOUR WINDS,2015-2022,17,1,5.88,0,1,0,0,0.0,16,1,6.25
THOR MOTOR COACH,HURRICANE,2015-2022,14,1,7.14,1,0,0,0,0.0,14,1,7.14
THOR MOTOR COACH,QUANTUM,2016-2022,3,1,33.33,0,1,0,0,0.0,3,1,33.33
TIFFIN,PHAETON,2015-2022,22,1,4.55,1,0,0,0,0.0,21,1,4.76
TIFFIN,WAYFARER,2018-2021,13,1,7.69,0,1,0,0,0.0,12,1,8.33
TOYOTA,COROLLA HYBRID,2020-2022,2,1,50.0,0,1,0,0,0.0,2,1,50.0
TOYOTA,PRIUS PLUG-IN HYBRID,2015-2015,5,1,20.0,1,0,0,0,0.0,5,1,20.0
TRIUMPH,BONNEVILLE T120 BLACK,2016-2020,2,1,50.0,1,0,1,0,0.0,2,1,50.0
TRIUMPH,SCRAMBLER,2019-2019,1,1,100.0,0,1,0,0,0.0,1,1,100.0
TRIUMPH,THRUXTON ACE,2015-2015,1,1,100.0,1,1,0,0,0.0,1,1,100.0
TRIUMPH,TIGER 1200 XRX,2019-2019,1,1,100.0,1,1,0,0,0.0,1,1,100.0
VICTORY,CROSS COUNTRY TOUR,2016-2017,5,1,20.0,1,1,0,0,0.0,5,1,20.0
VICTORY,MAGNUM,2015-2017,3,1,33.33,1,1,0,0,0.0,3,1,33.33
VMI OFFROAD,XTENDER COMPASS,2018-2018,1,1,100.0,1,0,0,0,0.0,1,1,100.0
VOLKSWAGEN,ARTEON,2019-2022,28,1,3.57,1,0,0,0,0.0,26,1,3.85
VOLKSWAGEN,GOLF SPORTSWAGEN,2015-2017,15,1,6.67,1,0,0,1,100.0,11,0,0.0
VOLKSWAGEN,TIGUAN LIMITED,2018-2018,6,1,16.67,0,1,0,0,0.0,5,1,20.0
VOLKSWAGEN,TOUAREG,2015-2017,92,1,1.09,0,1,0,0,0.0,91,1,1.1
VOLVO,780,2016-2016,2,1,50.0,1,1,0,1,100.0,1,0,0.0
VOLVO,V60CC,2015-2022,22,1,4.55,1,1,0,1,100.0,20,0,0.0
WESTERN STAR,5700,2018-2022,4,1,25.0,0,1,0,0,0.0,4,1,25.0
WINNEBAGO,ERA,2015-2022,9,1,11.11,0,1,0,0,0.0,7,1,14.29
WINNEBAGO,HORIZON,2020-2020,2,1,50.0,1,0,0,0,0.0,2,1,50.0
WINNEBAGO,REVEL,2018-2022,17,1,5.88,1,0,0,1,100.0,15,0,0.0
WINNEBAGO,VIEW,2015-2022,47,1,2.13,1,0,0,0,0.0,47,1,2.13
WINNEBAGO,VISTA,2015-2020,14,1,7.14,0,1,0,0,0.0,14,1,7.14
YAMAHA,FJ-09,2015-2015,10,1,10.0,1,0,0,0,0.0,10,1,10.0
YAMAHA,XV1900,2018-2021,7,1,14.29,0,1,0,0,0.0,7,1,14.29
YAMAHA,YZ250F,2015-2015,1,1,100.0,1,0,0,0,0.0,1,1,100.0
YAMAHA,YZF-R1,2015-2020,8,1,12.5,0,1,0,0,0.0,8,1,12.5
YAMAHA,YZF-R6C,2016-2016,1,1,100.0,1,1,0,0,0.0,1,1,100.0
YAMAHA,YZFR1S,2016-2016,1,1,100.0,1,1,0,0,0.0,1,1,100.0
YONGFU,SOLANA,2022-2022,2,1,50.0,0,1,1,0,0.0,2,1,50.0
ZERO,FX,2015-2020,4,1,25.0,0,1,0,0,0.0,4,1,25.0
ZERO,SR,2015-2018,2,1,50.0,1,0,0,0,0.0,2,1,50.0
4 STAR,HORSE TRAILER,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
4-STAR TRAILER,HORSE GOOSENECK,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
4-STAR TRAILER,HORSE TRAILER,2019-2019,2,0,0.0,0,0,0,0,,2,0,0.0
ACURA,MDX SPORT HYBRID,2017-2020,22,0,0.0,0,0,0,0,,22,0,0.0
ACURA,RL,2015-2015,2,0,0.0,0,0,0,0,,2,0,0.0
ACURA,RLX HYBRID,2016-2018,5,0,0.0,0,0,0,0,,5,0,0.0
ACURA,TLX TYPE S,2021-2022,41,0,0.0,0,0,0,0,,41,0,0.0
AIRSTREAM,ATLAS,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
AIRSTREAM,BAMBI,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
AIRSTREAM,BASECAMP,2017-2022,10,0,0.0,0,0,0,0,,10,0,0.0
AIRSTREAM,FLYING CLOUD,2015-2021,6,0,0.0,0,0,0,0,,6,0,0.0
AIRSTREAM,GLOBETROTTER,2018-2021,2,0,0.0,0,0,0,0,,2,0,0.0
AIRSTREAM,INTERSTATE,2016-2020,6,0,0.0,0,0,0,0,,6,0,0.0
AIRSTREAM,INTERSTATE NINETEEN,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
AIRSTREAM,LAND YACHT,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
AIRSTREAM,MERCEDES-BENZ SPRINTER,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
AIRSTREAM,NEST,2019-2019,1,0,0.0,0,0,0,0,,1,0,0.0
AIRSTREAM,SPORT,2016-2016,1,0,0.0,0,0,0,0,,1,0,0.0
AIRSTREAM,TOMMY BAHAMA,2019-2019,1,0,0.0,0,0,0,0,,1,0,0.0
ALCOM,ALCOM,2019-2019,1,0,0.0,0,0,0,0,,1,0,0.0
ALFA,ROMEO 4C,2015-2015,2,0,0.0,0,0,0,0,,1,0,0.0
ALFA ROMEO,4C,2017-2017,1,0,0.0,0,0,0,0,,1,0,0.0
ALINER,CAMPER TRAILER,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
ALLEGRO,450P,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
ALLIANCE RV,AVENUE,2022-2022,3,0,0.0,0,0,0,0,,3,0,0.0
ALLIANCE RV,PARADIGM,2021-2022,11,0,0.0,0,0,0,0,,11,0,0.0
ALTEC,AT200A,2018-2018,3,0,0.0,0,0,0,0,,3,0,0.0
ALUMA,7816 TAESA,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
ALUMA,AE716TA,2016-2016,1,0,0.0,0,0,0,0,,1,0,0.0
ALUMA,ALUMA,2018-2021,3,0,0.0,0,0,0,0,,3,0,0.0
ALUMA,TM51-WA35EB4S6,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
ALUMINUM TRAILER CO,ALUMINUM TRAILER CO,2018-2021,5,0,0.0,0,0,0,0,,5,0,0.0
AM GENERAL,MV-1,2016-2016,1,0,0.0,0,0,0,0,,1,0,0.0
AMERICAN COACH,AMERICAN ALLEGIANCE,2016-2016,2,0,0.0,0,0,0,0,,2,0,0.0
AMERICAN COACH,AMERICAN DREAM,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
AMERICAN COACH,AMERICAN EAGLE,2016-2020,3,0,0.0,0,0,0,0,,3,0,0.0
AMERICAN COACH,AMERICAN REVOLUTION,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
AMERICAN COACH,AMERICAN TRADITION,2015-2021,3,0,0.0,0,0,0,0,,3,0,0.0
AMERICAN HAULER,CARGO TRAILERS,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
AMERICAN HAULER,SILVER HAWK,2022-2022,1,0,0.0,0,0,0,0,,1,0,0.0
APRILIA,CAPONORD 1200,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
APRILIA,CAPONORD RALLY,2016-2016,1,0,0.0,0,0,0,0,,1,0,0.0
APRILIA,RSV4,2022-2022,1,0,0.0,0,0,0,0,,1,0,0.0
APRILIA,TUONO 660,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
ARCIMOTO,FUV,2020-2021,2,0,0.0,0,0,0,0,,2,0,0.0
ARCIMOTO,ROADSTER,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
ASTON MARTIN,DB9,2015-2015,2,0,0.0,0,0,0,0,,2,0,0.0
ASTON MARTIN,V12 VANTAGE COUPE,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
ASTON MARTIN,V12 VANTAGE S,2017-2017,1,0,0.0,0,0,0,0,,1,0,0.0
ASTON MARTIN,V8 VANTAGE,2015-2015,3,0,0.0,0,0,0,0,,3,0,0.0
ATRO,ATRO,2022-2022,1,0,0.0,0,0,0,0,,1,0,0.0
AUDI,A3 ETRON,2019-2020,2,0,0.0,0,0,0,0,,1,0,0.0
AUDI,A3 SPORTBACK E-TRON,2016-2017,4,0,0.0,0,0,0,0,,4,0,0.0
AUDI,A5 CABRIOLET,2015-2017,3,0,0.0,0,0,0,0,,3,0,0.0
AUDI,A7 E,2021-2021,2,0,0.0,0,0,0,0,,2,0,0.0
AUDI,A8 L E,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
AUDI,E-TRON GT,2022-2022,7,0,0.0,0,0,0,0,,7,0,0.0
AUDI,E-TRON QUATTRO,2019-2019,1,0,0.0,0,0,0,0,,1,0,0.0
AUDI,E-TRON SPORTBACK,2020-2022,20,0,0.0,0,0,0,0,,20,0,0.0
AUDI,RS 3,2017-2020,20,0,0.0,0,0,0,0,,14,0,0.0
AUDI,RS 5,2015-2021,7,0,0.0,0,0,0,0,,7,0,0.0
AUDI,RS 6 AVANT,2021-2022,5,0,0.0,0,0,0,0,,5,0,0.0
AUDI,RS 7,2015-2021,12,0,0.0,0,0,0,0,,11,0,0.0
AUDI,RS E-TRON GT,2022-2022,4,0,0.0,0,0,0,0,,4,0,0.0
AUDI,RS Q8,2021-2022,6,0,0.0,0,0,0,0,,6,0,0.0
AUDI,RS5,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
AUDI,S4,2015-2022,29,0,0.0,0,0,0,0,,29,0,0.0
AUDI,S8,2015-2021,13,0,0.0,0,0,0,0,,13,0,0.0
AUDI,SQ7,2020-2022,12,0,0.0,0,0,0,0,,12,0,0.0
AUDI,SQ8,2020-2022,8,0,0.0,0,0,0,0,,8,0,0.0
AUDI,TT,2016-2016,3,0,0.0,0,0,0,0,,0,0,
AUDI,TT ROADSTER,2016-2018,5,0,0.0,0,0,0,0,,3,0,0.0
AUDI,TT RS,2018-2018,1,0,0.0,0,0,0,0,,1,0,0.0
AUTOCAR,XPEDITOR,2019-2021,4,0,0.0,0,0,0,0,,4,0,0.0
AVION,AZURE,2016-2016,1,0,0.0,0,0,0,0,,1,0,0.0
BAODIAO,9-LINES,2022-2022,1,0,0.0,0,0,0,0,,1,0,0.0
BEAR TRAILER,BEAR TRAILER,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
BENTLEY,CONTINENTAL,2018-2018,1,0,0.0,0,0,0,0,,1,0,0.0
BENTLEY,CONTINENTAL FLYING SPUR,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
BENTLEY,FLYING SPUR,2020-2020,2,0,0.0,0,0,0,0,,2,0,0.0
BERKSHIRE,BE43C-450,2018-2018,1,0,0.0,0,0,0,0,,1,0,0.0
BIG TEX,35SA,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
BIG TEX,BIG TEX,2021-2021,2,0,0.0,0,0,0,0,,2,0,0.0
BIG TEX,XT,2016-2016,1,0,0.0,0,0,0,0,,1,0,0.0
BISON,PREMIERE,2018-2018,1,0,0.0,0,0,0,0,,1,0,0.0
BISON,RANGER,2018-2018,2,0,0.0,0,0,0,0,,2,0,0.0
BISON,SILVERADO,2016-2016,1,0,0.0,0,0,0,0,,1,0,0.0
BLACK SERIES CAMPERS,BLACK SERIES CAMPER,2022-2022,1,0,0.0,0,0,0,0,,1,0,0.0
BLACK SERIES CAMPERS,C12,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
BLACKSERIES CAMPERS,ALPHA,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
BLACKSERIES CAMPERS,DOMINATOR,2020-2020,1,0,0.0,0,0,0,0,,1,0,0.0
BLACKSERIES CAMPERS,PATRION,2021-2021,2,0,0.0,0,0,0,0,,2,0,0.0
BLUE BIRD,ALL AMERICAN,2015-2019,6,0,0.0,0,0,0,0,,6,0,0.0
BLUE BIRD,ALL AMERICAN SCHOOL BUS,2020-2022,6,0,0.0,0,0,0,0,,6,0,0.0
BLUE BIRD,BBCV,2015-2019,3,0,0.0,0,0,0,0,,3,0,0.0
BLUE BIRD,VISION,2015-2017,7,0,0.0,0,0,0,0,,7,0,0.0
BLUE BIRD,VISION SCHOOL BUS,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
BLUECAR,SAS,2015-2015,1,0,0.0,0,0,0,0,,0,0,
BMW,230I,2017-2022,22,0,0.0,0,0,0,0,,21,0,0.0
BMW,320XI,2015-2016,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,328D,2015-2018,59,0,0.0,0,0,0,0,,59,0,0.0
BMW,328XD,2015-2015,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,335I,2015-2016,12,0,0.0,0,0,0,0,,12,0,0.0
BMW,335XI,2015-2015,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,435XI,2016-2016,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,535D,2015-2016,15,0,0.0,0,0,0,0,,15,0,0.0
BMW,540D,2018-2018,3,0,0.0,0,0,0,0,,2,0,0.0
BMW,550I,2015-2016,7,0,0.0,0,0,0,0,,7,0,0.0
BMW,550XI,2016-2016,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,640XI,2018-2019,8,0,0.0,0,0,0,0,,6,0,0.0
BMW,650I,2015-2017,5,0,0.0,0,0,0,0,,5,0,0.0
BMW,740E,2017-2018,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,740LD,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,740LE,2018-2018,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,740LI,2015-2022,6,0,0.0,0,0,0,0,,5,0,0.0
BMW,740LXI,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,750LI,2015-2021,5,0,0.0,0,0,0,0,,4,0,0.0
BMW,750XI,2016-2016,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,840I,2020-2022,11,0,0.0,0,0,0,0,,11,0,0.0
BMW,850GS,2019-2019,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,C 400 X,2019-2019,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,C600 SPORT MAXI-SCOOTER,2016-2016,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,C650 GT MAXI-SCOOTER,2015-2020,10,0,0.0,0,0,0,0,,10,0,0.0
BMW,F 850 GS,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,F800 GT,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,F850GS,2019-2019,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,G 310 R,2018-2018,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,G 650 GS,2015-2016,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,G310 GS,2018-2019,3,0,0.0,0,0,0,0,,3,0,0.0
BMW,G650GS,2015-2016,7,0,0.0,0,0,0,0,,7,0,0.0
BMW,I8,2015-2020,9,0,0.0,0,0,0,0,,8,0,0.0
BMW,K 1600 B,2018-2022,13,0,0.0,0,0,0,0,,13,0,0.0
BMW,K 1600 GTL,2015-2022,25,0,0.0,0,0,0,0,,25,0,0.0
BMW,K1300 S,2015-2015,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,K1600B,2018-2019,41,0,0.0,0,0,0,0,,41,0,0.0
BMW,M2,2016-2021,28,0,0.0,0,0,0,0,,28,0,0.0
BMW,M235I,2015-2022,14,0,0.0,0,0,0,0,,13,0,0.0
BMW,M240I,2017-2022,10,0,0.0,0,0,0,0,,9,0,0.0
BMW,M3,2015-2022,25,0,0.0,0,0,0,0,,24,0,0.0
BMW,M340I,2020-2022,69,0,0.0,0,0,0,0,,68,0,0.0
BMW,M5,2015-2022,23,0,0.0,0,0,0,0,,21,0,0.0
BMW,M550I,2018-2022,27,0,0.0,0,0,0,0,,17,0,0.0
BMW,M6,2016-2018,6,0,0.0,0,0,0,0,,4,0,0.0
BMW,M760I,2019-2019,1,0,0.0,0,0,0,0,,0,0,
BMW,M850I,2019-2020,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,R 1200 GS ADVENTURE,2017-2017,4,0,0.0,0,0,0,0,,4,0,0.0
BMW,R 1200 RT,2015-2016,3,0,0.0,0,0,0,0,,3,0,0.0
BMW,R 1250 GS,2019-2022,27,0,0.0,0,0,0,0,,27,0,0.0
BMW,R 1250 GS ADVENTURE,2019-2019,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,R 1250 R,2020-2022,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,R 1250 RS,2021-2021,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,R 1250 RT,2019-2022,20,0,0.0,0,0,0,0,,20,0,0.0
BMW,R 18,2022-2022,9,0,0.0,0,0,0,0,,9,0,0.0
BMW,R 18 CLASSIC,2021-2021,3,0,0.0,0,0,0,0,,3,0,0.0
BMW,R NINE T,2015-2015,2,0,0.0,0,0,0,0,,2,0,0.0
BMW,R1200 GS ADVENTURE,2015-2018,8,0,0.0,0,0,0,0,,8,0,0.0
BMW,R1200 R,2015-2015,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,R1200 RS,2016-2016,4,0,0.0,0,0,0,0,,4,0,0.0
BMW,R1200 RT,2015-2018,5,0,0.0,0,0,0,0,,5,0,0.0
BMW,R1250 GS ADVENTURE,2019-2019,3,0,0.0,0,0,0,0,,3,0,0.0
BMW,S 1000 XR,2020-2021,4,0,0.0,0,0,0,0,,4,0,0.0
BMW,S1000 R,2015-2017,4,0,0.0,0,0,0,0,,4,0,0.0
BMW,S1000 RR,2015-2020,9,0,0.0,0,0,0,0,,9,0,0.0
BMW,S1000 XR,2016-2016,1,0,0.0,0,0,0,0,,1,0,0.0
BMW,X5 HYBRID,2021-2022,4,0,0.0,0,0,0,0,,4,0,0.0
