make,model,transmission_complaints,narrative_confirmed_complaints,total_complaints,transmission_share_pct
INFINITI,G37,46,35,721,6.4
PORSCHE,TAYCAN,46,20,414,11.1
RAM,5500,46,33,211,21.8
UNKNOWN,UNKNOWN1,46,30,1595,2.9
BMW,535I,45,11,723,6.2
MAZDA,B-SERIES TRUCK,45,38,888,5.1
MERCEDES-BENZ,GLA 250,45,30,438,10.3
TOYOTA,4 RUNNER,45,35,1234,3.6
ACURA,RSX,44,42,214,20.6
ACURA,TLX TYPE S,44,22,56,78.6
CHEVROLET,CHEVROLET TRUCK,44,35,656,6.7
FORD,TAURUS X,44,35,227,19.4
GMC,ENVOY XL,44,37,769,5.7
HARLEY-DAVIDSON,FLHTCU,44,24,333,13.2
MITSUBISHI,MONTERO,44,35,994,4.4
TOYOTA,CAMRY HYBRID,44,8,2046,2.2
BMW,330I,43,26,1076,4.0
GMC,YUKON DENALI,43,32,1173,3.7
LAND ROVER,DISCOVERY SPORT,43,31,276,15.6
MAZDA,MAZDASPEED3,43,37,155,27.7
NISSAN,TITAN XD,43,16,289,14.9
VICTORY,V92SC SPORTCRUISER,43,41,50,86.0
DODGE,DODGE TRUCK,42,34,468,9.0
HYUNDAI,VERACRUZ,42,23,956,4.4
BMW,5 SERIES,41,24,557,7.4
CHEVROLET,MALIBU MAXX,41,20,1389,3.0
DODGE,SHADOW,41,39,601,6.8
FORD,FORD,41,30,561,7.3
MAZDA,MILLENIA,41,34,338,12.1
PONTIAC,AZTEK,41,37,829,4.9
FORD,F-450 SD,40,25,630,6.3
YAMAHA,YAMAHA,40,36,225,17.8
CHEVROLET,UPLANDER,39,29,923,4.2
HYUNDAI,TUCSON HYBRID,39,12,593,6.6
JEEP,GRAND CHEROKEE 4XE,39,23,463,8.4
ACURA,TSX,38,23,855,4.4
BMW,530I,38,33,809,4.7
BMW,X7,38,4,476,8.0
CADILLAC,CT6,38,29,93,40.9
FORD,MUSTANG GT,38,31,836,4.5
ISUZU,AXIOM,38,36,238,16.0
KIA,AMANTI,38,22,353,10.8
LAND ROVER,RANGE ROVER SPORT,38,18,888,4.3
ACURA,RL,37,24,525,7.0
BMW,745I,37,31,187,19.8
BMW,X6,37,12,300,12.3
FORD,F-550 SD,37,26,613,6.0
JEEP,GRAND CHEROKEE L,37,21,547,6.8
LEXUS,ES350,37,31,1531,2.4
MITSUBISHI,MONTERO SPORT,37,33,453,8.2
SATURN,SC1,37,30,554,6.7
TOYOTA,HIGHLANDER HYBRID,37,10,1104,3.4
BUICK,SKYLARK,36,32,755,4.8
GEO,METRO,36,28,810,4.4
HUMMER,H3,36,19,1064,3.4
PONTIAC,FIREBIRD,36,26,804,4.5
SUZUKI,GRAND VITARA,36,22,880,4.1
TOYOTA,CELICA,36,32,521,6.9
BUICK,RIVIERA,35,18,439,8.0
CHEVROLET,CAPRICE,35,28,918,3.8
FORD,F-150 LIGHTNING BEV,35,7,395,8.9
FORD,FORD TRUCK,35,34,412,8.5
HYUNDAI,GENESIS COUPE,35,25,305,11.5
MERCEDES-BENZ,CLA250,35,21,519,6.7
ACURA,LEGEND,34,26,508,6.7
BMW,328XI,34,14,672,5.1
BMW,528XI,34,10,239,14.2
CAN-AM,SPYDER RT,34,16,399,8.5
FORD,ECONOLINE,34,28,1161,2.9
HONDA,CR-V HYBRID,34,16,697,4.9
PONTIAC,SOLSTICE,34,19,874,3.9
TBD_TEST,TBD_TEST,34,31,863,3.9
BMW,745LI,33,30,225,14.7
CADILLAC,STS,33,13,610,5.4
CHEVROLET,CAPTIVA,33,11,465,7.1
DODGE,JOURNEY AWD,33,18,410,8.0
INFINITI,Q45,33,28,307,10.7
MAZDA,CX-90,33,11,542,6.1
ACURA,INTEGRA,32,28,769,4.2
BMW,550I,32,14,386,8.3
MERCEDES-BENZ,GLC 300,32,16,612,5.2
OLDSMOBILE,ACHIEVA,32,25,627,5.1
SUZUKI,GSXR750,32,30,41,78.0
BMW,I3,31,9,293,10.6
BUICK,LUCERNE,31,21,1332,2.3
JAGUAR,XF,31,22,528,5.9
KIA,OPTIMA HYBRID,31,12,407,7.6
MERCEDES-BENZ,SPRINTER 3500,31,24,482,6.4
SCION,TC,31,21,874,3.5
SUZUKI,VERONA,31,23,339,9.1
TOYOTA,COROLLA CROSS,31,15,562,5.5
BMW,525I,30,26,663,4.5
BUICK,ENVISION,30,18,359,8.4
CHEVROLET,BERETTA,30,28,784,3.8
CHEVROLET,CORSICA,30,22,1164,2.6
FORD,F SUPER DUTY,30,20,558,5.4
FORD,FUSION ENERGI,30,17,403,7.4
HARLEY-DAVIDSON,FLHTK,30,20,210,14.3
HARLEY-DAVIDSON,FLHX,30,21,238,12.6
HYUNDAI,AZERA,30,21,995,3.0
INFINITI,QX50,30,18,394,7.6
CADILLAC,SEVILLE,29,21,1049,2.8
GMC,SAVANA,29,25,449,6.5
HONDA,CROSSTOUR,29,6,204,14.2
INFINITI,QX56,29,13,706,4.1
JAGUAR,XJ8,29,27,235,12.3
MAZDA,MX-5,29,24,202,14.4
MAZDA,MX-6,29,23,241,12.0
MERCEDES-BENZ,ML350,29,16,603,4.8
TOYOTA,VENZA,29,16,623,4.7
BMW,X5 SAV,28,13,293,9.6
CADILLAC,CATERA,28,18,826,3.4
EAGLE,PREMIER,28,20,415,6.7
GMC,SIERRA DENALI,28,22,332,8.4
MERCURY,TRACER,28,17,755,3.7
MITSUBISHI,LANCER RALLIART,28,11,45,62.2
ACURA,MDX TYPE S,27,17,34,79.4
AUDI,S5,27,23,211,12.8
DODGE,RAM VAN,27,24,304,8.9
FORD,E-250,27,23,421,6.4
GMC,YUKON DENALI XL,27,16,684,3.9
MERCEDES-BENZ,C250,27,7,902,3.0
MERCURY,MARINER HYBRID,27,6,314,8.6
SUZUKI,INTRUDER,27,26,109,24.8
TOYOTA,T100,27,19,390,6.9
YAMAHA,XVS1100,27,17,52,51.9
FORD,F150,26,26,1029,2.5
KIA,NIRO PHEV,26,13,96,27.1
LEXUS,GS300,26,16,448,5.8
LEXUS,IS,26,18,808,3.2
MERCURY,TOPAZ,26,21,581,4.5
SATURN,SATURN,26,24,334,7.8
YAMAHA,MIDNIGHT STAR,26,20,29,89.7
EAGLE,SUMMIT,25,22,259,9.7
FORD,ASPIRE,25,18,289,8.7
FORD,E-450,25,20,546,4.6
HONDA,CLARITY PLUG-IN HYBRID,25,5,293,8.5
HONDA,INSIGHT,25,11,682,3.7
MERCEDES BENZ,B-CLASS ELECTRIC,25,11,90,27.8
MERCEDES BENZ,E500,25,17,546,4.6
MERCURY,MARQUIS,25,20,504,5.0
NISSAN,D21,25,16,466,5.4
OLDSMOBILE,98,25,22,417,6.0
OLDSMOBILE,CIERA,25,22,355,7.0
RAM,PROMASTER CITY,25,15,139,18.0
TOYOTA,YARIS,25,17,1096,2.3
AUDI,A8,24,12,362,6.6
BMW,330CI,24,23,326,7.4
BMW,R1200 GS,24,6,186,12.9
BMW,R1200 RT,24,10,162,14.8
CADILLAC,ELDORADO,24,18,700,3.4
DODGE,RAM QUAD CAB,24,16,561,4.3
GEO,PRIZM,24,22,800,3.0
JEEP,PATRIOT FWD,24,20,263,9.1
KIA,SORENTO HYBRID,24,7,179,13.4
LAND ROVER,LR3,24,13,259,9.3
LINCOLN,MARK VIII,24,18,986,2.4
LINCOLN,MKS,24,6,492,4.9
MERCEDES-BENZ,C 300,24,4,669,3.6
MITSUBISHI,ECLIPSE SPYDER,24,19,285,8.4
MITSUBISHI,EXPO,24,22,92,26.1
NISSAN,300ZX,24,21,389,6.2
POLARIS,VICTORY,24,22,42,57.1
SAAB,9000,24,11,197,12.2
SCION,FR-S,24,13,236,10.2
VOLVO,S40,24,18,677,3.5
