make,model,transmission_complaints,narrative_confirmed_complaints,total_complaints,transmission_share_pct
GMC,YUKON HYBRID,5,3,80,6.2
GMC,YUKON XL 2500,5,2,79,6.3
HARLEY-DAVIDSON,FLHT,5,2,76,6.6
HARLEY-DAVIDSON,FXDBI,5,1,15,33.3
HARLEY-DAVIDSON,FXDL,5,2,47,10.6
HARLEY-DAVIDSON,FXDWGI,5,3,26,19.2
HONDA,CIVIC TYPE R,5,2,40,12.5
HONDA,GL1500,5,1,51,9.8
HONDA,GL1800A,5,4,63,7.9
HONDA,VALKYRIE,5,0,35,14.3
HYUNDAI,IONIQ PLUG-IN HYBRID,5,2,41,12.2
INDIAN,CHIEF,5,4,99,5.1
INDIAN,CHIEFTAIN,5,4,19,26.3
INDIAN,ROADMASTER,5,2,34,14.7
JAGUAR,E-PACE,5,2,35,14.3
JAGUAR,XJ6,5,5,177,2.8
JEEP,WRANGLER 4-DR 4X4 RHD,5,4,27,18.5
KAWASAKI,VULCAN,5,5,70,7.1
KIA,RIO CINCO,5,4,63,7.9
KTM,790 ADVENTURE R,5,1,76,6.6
LEXUS,CT,5,1,192,2.6
LEXUS,IS 350,5,3,279,1.8
LINCOLN,CORSAIR PHEV,5,2,63,7.9
LINCOLN,MARK VII,5,4,137,3.6
MACK,GRANITE (GR),5,3,14,35.7
MERCEDES BENZ,C,5,5,32,15.6
MERCEDES BENZ,C240,5,5,127,3.9
MERCEDES BENZ,C350,5,3,323,1.5
MERCEDES-BENZ,AMG E55,5,3,399,1.3
MERCEDES-BENZ,AMG GLE43,5,1,52,9.6
MERCEDES-BENZ,AMG GLE53 4MATIC+,5,3,22,22.7
MERCEDES-BENZ,E 300,5,4,85,5.9
MERCEDES-BENZ,GL350,5,1,102,4.9
MERCEDES-BENZ,SL550,5,4,34,14.7
MINI,COUNTRYMAN,5,3,157,3.2
MITSUBISHI,OUTLANDER PHEV,5,2,37,13.5
MITSUBISHI,PRECIS,5,5,23,21.7
NISSAN,200SX,5,2,209,2.4
NISSAN,PATHFINDER HYBRID,5,4,16,31.2
POLARIS,EXPLORER,5,4,15,33.3
PONTIAC,6000,5,4,121,4.1
PORSCHE,BOXSTER (987),5,5,11,45.5
POWERTRAIN,POWERTRAIN,5,4,92,5.4
SAAB,9-3 CONVERTIBLE,5,5,80,6.2
SCION,IA,5,5,39,12.8
SCION,IM,5,4,17,29.4
SCION,XA,5,4,167,3.0
SUBARU,BRZ,5,3,130,3.8
SUZUKI,DL650,5,5,19,26.3
TOYOTA,SEQUOIA SR5,5,2,177,2.8
TRIUMPH,TT600,5,5,21,23.8
VANDERHALL,VENICE,5,1,19,26.3
VICTORY,CROSS COUNTRY TOUR,5,5,10,50.0
VICTORY,KINGPIN,5,4,16,31.2
VICTORY,V92SC,5,5,8,62.5
VOLKSWAGEN,FOX,5,3,107,4.7
VOLVO,940,5,4,138,3.6
VOLVO,VN,5,4,150,3.3
WINNEBAGO,WINNEBAGO,5,5,215,2.3
ACURA,ZDX,4,3,117,3.4
AMERIVAN,TOYOTA SIENNA,4,1,60,6.7
AUDI,E-TRON SPORTBACK,4,1,35,11.4
AUDI,Q5 SPORTBACK,4,1,53,7.5
AUDI,S5 CABRIOLET,4,4,19,21.1
AUDI,S8,4,1,53,7.5
BMW,1 SERIES,4,1,134,3.0
BMW,128I,4,0,238,1.7
BMW,328,4,3,125,3.2
BMW,750IX,4,1,13,30.8
BMW,E36,4,4,26,15.4
BMW,R SERIES,4,4,30,13.3
BRAUN,TOWN & COUNTRY,4,3,151,2.6
BUICK,BUICK,4,4,117,3.4
CADILLAC,ESCALADE EXT,4,3,126,3.2
CAN-AM,RYKER,4,1,238,1.7
CHEVROLET,3500,4,4,22,18.2
CHEVROLET,CHEVY VAN,4,3,120,3.3
CHEVROLET,EQUINOX EV,4,2,381,1.0
CHEVROLET,EXPLORER,4,3,44,9.1
CHEVROLET,K2500,4,4,123,3.3
CHEVROLET,S SERIES,4,4,33,12.1
CHEVROLET,SILVERADO EV,4,1,82,4.9
CHEVROLET,SSR,4,3,96,4.2
CHRYSLER,CHRYSLER TRUCK,4,3,19,21.1
CHRYSLER,SEBRING SEDAN,4,2,105,3.8
CHRYSLER,SRT8,4,2,9,44.4
DODGE,AVENGER AWD,4,3,19,21.1
DODGE,STRATUS COUPE,4,2,87,4.6
FIRESTONE,FIREHAWK,4,3,354,1.1
FORD,B800,4,4,10,40.0
FORD,ESCAPE HEV,4,2,80,5.0
FORD,F SERIES (HEAVY),4,4,27,14.8
FORD,FESTIVA,4,3,201,2.0
FORD,MUSTANG CONVERTIBLE,4,3,170,2.4
FREIGHTLINER,M2,4,2,38,10.5
GMC,1500,4,2,73,5.5
GMC,ENVOY DENALI XL,4,2,62,6.5
GMC,PASSENGER VEHICLE,4,4,61,6.6
GMC,PICKUP,4,1,149,2.7
HARLEY-DAVIDSON,ELECTRA GLIDE,4,1,44,9.1
HARLEY-DAVIDSON,FLHTKSE,4,4,17,23.5
HARLEY-DAVIDSON,FLHXSE,4,4,21,19.0
HARLEY-DAVIDSON,FLTRU,4,2,70,5.7
HARLEY-DAVIDSON,RA1250S,4,0,41,9.8
HARLEY-DAVIDSON,SOFTAIL,4,1,54,7.4
HARLEY-DAVIDSON,TRIKE,4,2,12,33.3
HOLIDAY RAMBLER,VACATIONER,4,2,70,5.7
HONDA,CBR1000RR,4,4,55,7.3
HONDA,V SERIES,4,4,13,30.8
HONDA,VT750,4,3,43,9.3
HUSQVARNA,TR650,4,2,117,3.4
INFINITI,FX45,4,3,88,4.5
INFINITI,JX,4,3,18,22.2
INFINITI,M30,4,4,27,14.8
INFINITI,Q70L,4,1,11,36.4
ISUZU,NPR,4,2,66,6.1
ISUZU,NPR HD,4,0,14,28.6
ISUZU,OASIS,4,3,29,13.8
JAGUAR,VANDEN PLAS,4,2,75,5.3
JAGUAR,XJ8L,4,4,28,14.3
JEEP,COMPASS FWD,4,3,101,4.0
KAWASAKI,EX300,4,4,22,18.2
KAWASAKI,KAWASAKI,4,2,111,3.6
KAWASAKI,NINJA ZX-10R,4,3,12,33.3
KAWASAKI,NINJA ZX-6R,4,1,78,5.1
KAWASAKI,VULCAN CLASSIC,4,4,16,25.0
KIA,SPORTAGE PHEV,4,3,58,6.9
LEXUS,GX 470,4,3,43,9.3
LEXUS,HS,4,3,81,4.9
LEXUS,RX 350,4,2,48,8.3
LEXUS,SC300,4,2,37,10.8
MERCEDES BENZ,280,4,2,126,3.2
MERCEDES BENZ,CLS500,4,3,87,4.6
MERCEDES BENZ,E,4,4,34,11.8
MERCEDES BENZ,E300,4,2,53,7.5
MERCEDES BENZ,M CLASS,4,3,93,4.3
MERCEDES BENZ,M-CLASS,4,3,22,18.2
MERCEDES BENZ,S600,4,0,95,4.2
MERCEDES BENZ,SLK280,4,4,60,6.7
MERCEDES-BENZ,AMG C63,4,0,33,12.1
MERCEDES-BENZ,AMG CLA45,4,2,41,9.8
MERCEDES-BENZ,EQB 300 4MATIC,4,3,100,4.0
MERCEDES-BENZ,GL550,4,1,70,5.7
MERCEDES-BENZ,GLK250,4,2,58,6.9
MERCEDES-BENZ,GLS 450 4MATIC,4,1,77,5.2
MERCEDES-BENZ,S550,4,2,184,2.2
MERCEDES-BENZ,SPRINTER 1500,4,1,44,9.1
MITSUBISHI,MIRAGE G4,4,2,98,4.1
MITSUBISHI FUSO,FE125,4,3,6,66.7
MOTO GUZZI,V11 SPORT,4,3,8,50.0
NATIONAL RV,NATIONAL RV,4,2,54,7.4
NEWMAR,DUTCH STAR,4,2,210,1.9
NISSAN,GT-R,4,4,42,9.5
NISSAN,NV3500,4,4,32,12.5
NISSAN,REDUNDANT ROGUE SPORT,4,1,47,8.5
PLYMOUTH,PLYMOUTH,4,4,45,8.9
POLARIS,1631,4,1,7,57.1
PONTIAC,FIERO,4,4,164,2.4
PONTIAC,G3,4,1,27,14.8
PORSCHE,911 GT3,4,1,67,6.0
PORSCHE,968,4,3,12,33.3
RAM,PROMASTER 3500,4,3,30,13.3
RIALTA,RIALTA,4,4,82,4.9
SANTA FE,SANTA FE TRAILER,4,3,64,6.2
SCION,XD,4,3,172,2.3
SONDORS,METACYCLE,4,2,20,20.0
SUZUKI,GSX-R1000,4,3,61,6.6
SUZUKI,GSX-R600,4,1,116,3.4
SUZUKI,GSX1300R,4,3,45,8.9
SUZUKI,SWIFT,4,3,53,7.5
THOR MOTOR COACH,MIRAMAR,4,2,44,9.1
TOYOTA,COROLLA IM,4,2,32,12.5
TOYOTA,CRESSIDA,4,4,57,7.0
TOYOTA,PRERUNNER,4,3,33,12.1
TRIUMPH,ROCKET III CLASSIC,4,4,8,50.0
TRIUMPH,ROCKET III TOURING,4,4,8,50.0
TRIUMPH,TROPHY SE A1,4,4,11,36.4
VICTORY,V92DC DELUXE CRUISER,4,2,10,40.0
VOLKSWAGEN,CORRADO,4,4,186,2.2
VOLKSWAGEN,QUANTUM,4,3,10,40.0
VOLVO,760,4,2,61,6.6
VOLVO,C40BEV,4,0,67,6.0
VOLVO,V40,4,3,94,4.3
WINNEBAGO,VISTA,4,4,43,9.3
WORKHORSE,CHASSIS,4,4,72,5.6
YAMAHA,FZ-09,4,4,17,23.5
YAMAHA,ROADLINER,4,4,8,50.0
YAMAHA,ROADSTER,4,4,5,80.0
YAMAHA,XV17PCP,4,4,4,100.0
ACURA,RLX,3,1,175,1.7
ALFA ROMEO,164,3,3,15,20.0
ALLISON,TRANSMISSION,3,3,6,50.0
AUDI,E-TRON GT,3,2,25,12.0
AUDI,RS 5,3,3,15,20.0
AUDI,RS6,3,3,51,5.9
BLUE BIRD,SCHOOL BUS,3,3,52,5.8
BMW,3-SERIES,3,3,28,10.7
BMW,318TI,3,2,31,9.7
BMW,320,3,3,30,10.0
BMW,335D,3,1,75,4.0
BMW,335I US,3,1,25,12.0
BMW,530,3,3,30,10.0
BMW,530E,3,1,67,4.5
BMW,535I US,3,2,45,6.7
BMW,550I GRAN TURISMO,3,1,30,10.0
BMW,760I,3,1,45,6.7
BMW,F800 ST,3,0,18,16.7
BMW,I5,3,2,51,5.9
BMW,K SERIES,3,2,21,14.3
BMW,M235I,3,3,25,12.0
BMW,M3 US,3,3,14,21.4
BRIDGESTONE,BRIDGESTONE,3,2,706,0.4
BUELL,1125R,3,2,61,4.9
BUICK,ENVISTA,3,0,139,2.2
CADILLAC,CTS-V,3,1,39,7.7
CHEVROLET,BLAZER EV,3,0,167,1.8
CHEVROLET,CLASSIC,3,2,118,2.5
CHEVROLET,COBALT SS,3,2,353,0.8
CHEVROLET,EXPRESS 1500,3,3,133,2.3
CHEVROLET,EXPRESS CUTAWAY VAN,3,3,18,16.7
CHEVROLET,G25,3,1,35,8.6
CHEVROLET,IMPALA (GMX 211),3,3,27,11.1
CHEVROLET,K20,3,3,33,9.1
CHEVROLET,P SERIES,3,3,21,14.3
CHEVROLET,PICKUP TRUCK,3,3,32,9.4
CHEVROLET,S PICKUP,3,3,42,7.1
CHEVROLET,SONOMA,3,3,37,8.1
CHEVROLET,W3500,3,2,28,10.7
CHRYSLER,200 CONVERTIBLE,3,3,56,5.4
CHRYSLER,GRAND VOYAGER,3,2,26,11.5
COACHMEN,COACHMEN,3,3,128,2.3
DAEWOO PUERTO RICO,LANOS,3,2,88,3.4
DODGE,HORNET PHEV,3,2,87,3.4
DODGE,MINI RAM VAN,3,2,40,7.5
DODGE,QUAD,3,3,64,4.7
DODGE,RAM CLUB CAB,3,2,39,7.7
DODGE,VIPER,3,2,85,3.5
DUCATI,MTS1200 ABS,3,0,8,37.5
ENTEGRA,ANTHEM,3,1,30,10.0
FIRESTONE,AFFINITY,3,3,332,0.9
FIRESTONE,WILDERNESS AT,3,1,1198,0.3
FORD,E-SERIES,3,3,48,6.2
FORD,EXPLORER HYBRID,3,0,17,17.6
FORD,EXPLORER POLICE INTERCEPT,3,3,51,5.9
FORD,F-59,3,0,23,13.0
FORD,F-750 SD,3,1,11,27.3
FORD,FAIRMONT,3,2,15,20.0
FORD,FOCUS RS,3,3,6,50.0
FORD,SHO (TAURUS),3,3,29,10.3
FOREST RIVER,FLAGSTAFF,3,0,105,2.9
FOUR WINDS,FOUR WINDS,3,3,79,3.8
FREIGHTLINER,BUSINESS CLASS M2,3,2,62,4.8
FREIGHTLINER,FL60,3,2,27,11.1
FREIGHTLINER,SPRINTER 2500,3,1,65,4.6
GMC,C10,3,2,19,15.8
GMC,C15,3,3,44,6.8
GMC,C3500,3,2,43,7.0
GMC,C4500,3,3,27,11.1
GMC,G SERIES,3,3,35,8.6
GMC,G25,3,3,20,15.0
GMC,GM,3,2,141,2.1
GMC,K1500,3,3,106,2.8
GMC,TERRAIN NA,3,3,38,7.9
HARLEY-DAVIDSON,FL SERIES,3,1,13,23.1
HARLEY-DAVIDSON,FLHTCUI,3,0,128,2.3
HARLEY-DAVIDSON,FLHTCUSE3,3,3,15,20.0
HARLEY-DAVIDSON,FLSTF,3,1,46,6.5
HARLEY-DAVIDSON,FXD,3,2,30,10.0
HARLEY-DAVIDSON,FXDWG,3,2,53,5.7
HARLEY-DAVIDSON,FXSTB,3,1,15,20.0
HARLEY-DAVIDSON,SOFT TAIL,3,1,28,10.7
HARLEY-DAVIDSON,XL1200C,3,3,30,10.0
HONDA,CLARITY ELECTRIC,3,0,55,5.5
HONDA,CRF450X,3,3,3,100.0
HONDA,CRV,3,3,4,75.0
HONDA,CTX700,3,1,17,17.6
HONDA,VFR1200F,3,2,23,13.0
HYUNDAI,KONA N,3,2,22,13.6
HYUNDAI,NEXO,3,0,39,7.7
INDIAN,SCOUT,3,2,65,4.6
INEOS,GRENADIER,3,1,37,8.1
INFINITI,FX,3,2,13,23.1
INFINITI,M,3,2,19,15.8
INTERNATIONAL,LT,3,3,29,10.3
INTERNATIONAL HARVESTER,9300,3,3,38,7.9
ISUZU,HOMBRE,3,2,142,2.1
ISUZU,I-290,3,1,24,12.5
ISUZU,ISUZU TRUCK,3,3,52,5.8
JAGUAR,XE,3,2,60,5.0
JAGUAR,XJR,3,3,40,7.5
JAGUAR,XJS,3,3,108,2.8
KAWASAKI,VULCAN 1500,3,3,31,9.7
KAWASAKI,VULCAN 900,3,2,13,23.1
KAWASAKI,ZX1100,3,3,19,15.8
KIA,NIRO HYBRID,3,2,24,12.5
KIA,OPTIMA PHEV,3,1,53,5.7
KYMCO,K-PIPE,3,3,5,60.0
LEXUS,GS HYBRID,3,3,25,12.0
LEXUS,GS450H,3,2,25,12.0
LEXUS,HS 250 HYBRID,3,1,106,2.8
LEXUS,LEXUS,3,3,75,4.0
LEXUS,LS460L,3,1,62,4.8
LEXUS,LX470,3,3,102,2.9
LEXUS,SC400,3,2,80,3.8
LOTUS,EVORA,3,3,22,13.6
MAZDA,CX9,3,2,58,5.2
MAZDA,RX-7,3,3,205,1.5
MERCEDES BENZ,230,3,2,39,7.7
MERCEDES BENZ,300 SERIES,3,3,79,3.8
MERCEDES BENZ,500,3,2,123,2.4
MERCEDES BENZ,600,3,2,57,5.3
MERCEDES BENZ,CL500,3,3,64,4.7
MERCEDES BENZ,CLK500,3,2,44,6.8
MERCEDES BENZ,SLK320,3,3,66,4.5
MERCEDES BENZ,SPRINTER 2500,3,3,66,4.5
MERCEDES BENZ,SPRINTER 3500,3,2,52,5.8
MERCEDES-BENZ,AMG GLA45,3,3,29,10.3
MERCEDES-BENZ,AMG GLB35,3,2,14,21.4
MERCEDES-BENZ,CLA 250,3,0,137,2.2
MERCEDES-BENZ,E550,3,2,214,1.4
MERCEDES-BENZ,EQS 450+,3,0,42,7.1
MERCEDES-BENZ,GLC 300 4MATIC,3,2,49,6.1
MERCEDES-BENZ,GLE 450E 4MATIC,3,0,27,11.1
MERCEDES-BENZ,GLE300D,3,2,13,23.1
MERCEDES-BENZ,GLE450,3,2,43,7.0
MERCEDES-BENZ,GLS450,3,1,100,3.0
MERCEDES-BENZ,SPRINTER 4500,3,2,22,13.6
MITSUBISHI,EXPO LRV,3,3,11,27.3
MITSUBISHI CARIBBEAN,GALANT,3,3,19,15.8
MOBILITY WORKS,FORD E-350,3,2,8,37.5
MONACO COACH,WINDSOR,3,3,33,9.1
PLYMOUTH,DUSTER,3,3,26,11.5
PLYMOUTH,PROWLER,3,2,69,4.3
PORSCHE,718 CAYMAN,3,2,29,10.3
SCOOTER,UNKNOWN,3,2,67,4.5
SPRINTER,2500,3,3,11,27.3
SPRINTER,3500,3,2,60,5.0
SUBARU,GL,3,2,100,3.0
SUBARU,OUTBACK SPORT,3,3,18,16.7
SUZUKI,AN650,3,3,23,13.0
SUZUKI,AN650 BURGMAN,3,3,10,30.0
SUZUKI,GRAND VITARA XL-7,3,3,57,5.3
SUZUKI,SUZUKI,3,3,49,6.1
SUZUKI,SV1000S,3,2,54,5.6
THOR MOTOR COACH,MAGNITUDE,3,2,29,10.3
THOR MOTOR COACH,WINDSPORT,3,2,59,5.1
TOYOTA,AVALON HYBRID,3,3,81,3.7
TOYOTA,PRIUS PLUG-IN HYBRID,3,2,93,3.2
TOYOTA,RAV4 HYBRID,3,2,181,1.7
TOYOTA,SUPRA,3,2,138,2.2
TRIUMPH,ROCKET III ROADSTER,3,2,4,75.0
TRIUMPH,THUNDERBIRD,3,0,22,13.6
VICTORY,HAMMER,3,3,16,18.8
VICTORY,MAGNUM,3,3,5,60.0
VOLVO,854,3,3,28,10.7
VOLVO,S90,3,2,94,3.2
VOLVO,V50,3,3,60,5.0
VOLVO,V60,3,2,72,4.2
VOLVO,V60CC,3,3,40,7.5
VOLVO,VOLVO TRUCK,3,2,158,1.9
WINNEBAGO,BRAVE,3,3,96,3.1
WINNEBAGO,VIEW,3,2,149,2.0
WINNEBAGO,WARRIOR,3,2,47,6.4
YAMAHA,V STAR 1100,3,3,15,20.0
YAMAHA,XC125,3,0,12,25.0
YAMAHA,YZF600RG,3,3,8,37.5
ACURA,3.0L,2,2,8,25.0
ACURA,VIGOR,2,2,30,6.7
APRILIA,SR 50,2,2,5,40.0
ASTON MARTIN,V8 VANTAGE,2,1,14,14.3
AUDI,200,2,1,23,8.7
AUDI,4000,2,1,26,7.7
AUDI,A4 CABRIOLET,2,1,69,2.9
AUDI,Q4 E-TRON,2,0,80,2.5
AUDI,Q4 E-TRON SPORTBACK,2,0,33,6.1
AUDI,RS 3,2,1,38,5.3
AUDI,RS 6 AVANT,2,1,10,20.0
AUDI,RS E-TRON GT,2,1,12,16.7
AUDI,RS5,2,2,9,22.2
AUDI,SQ8,2,2,16,12.5
BAL,OTHER,2,1,108,1.9
BEAVER,CONTESSA,2,2,7,28.6
BEAVER,PATRIOT,2,2,32,6.2
BERING,LD15,2,2,5,40.0
BIGDOG,RIDGEBACK,2,1,9,22.2
BMW,135I US,2,2,7,28.6
BMW,325IS,2,2,55,3.6
BMW,325IX,2,2,9,22.2
BMW,330XI,2,2,252,0.8
BMW,528,2,1,37,5.4
BMW,540,2,1,29,6.9
BMW,6 SERIES,2,2,35,5.7
BMW,640I,2,0,37,5.4
BMW,645CI,2,1,72,2.8
BMW,735,2,2,30,6.7
BMW,740,2,1,45,4.4
BMW,740ILA,2,2,10,20.0
BMW,750I US,2,2,10,20.0
BMW,750LIX,2,1,6,33.3
BMW,840I,2,0,20,10.0
BMW,850I,2,2,24,8.3
BMW,F 800 GS,2,2,21,9.5
BMW,F 800 ST,2,0,21,9.5
BMW,F650 GS,2,2,24,8.3
BMW,G650GS,2,1,17,11.8
BMW,I4 EDRIVE40,2,0,12,16.7
BMW,K100,2,1,6,33.3
BMW,K1100,2,2,8,25.0
BMW,K1200 R SPORT,2,2,9,22.2
BMW,K1200 S,2,2,61,3.3
BMW,K1200RS,2,1,42,4.8
BMW,L7,2,0,2,100.0
BMW,M ROADSTER,2,0,88,2.3
BMW,M550I,2,1,49,4.1
BMW,R 1150 GS ADVENTURE,2,2,2,100.0
BMW,R 1200 GS ADVENTURE,2,0,33,6.1
BMW,R 1200 R,2,0,46,4.3
BMW,R 1250 GS,2,0,40,5.0
BMW,R100,2,2,6,33.3
BMW,R1100 S,2,1,7,28.6
BMW,R1100RT-P,2,1,4,50.0
BMW,S 1000 RR,2,0,40,5.0
BMW,S1000 R,2,1,7,28.6
BMW,S1000 RR,2,1,11,18.2
BMW,X2,2,2,45,4.4
BMW,X5 HYBRID,2,1,4,50.0
BRIDGESTONE,POTENZA,2,1,387,0.5
BUICK,CASCADA,2,1,69,2.9
BUICK,ELECTRA,2,2,52,3.8
CADILLAC,BROUGHAM,2,1,69,2.9
CADILLAC,CIMARRON,2,2,27,7.4
CADILLAC,ELR,2,1,29,6.9
CADILLAC,LIMOUSINE,2,2,11,18.2
CAN-AM,SPYDER F3-S,2,0,5,40.0
CAN-AM,SPYDER GS,2,2,60,3.3
CHEVROLET,1500,2,1,278,0.7
CHEVROLET,C/K SERIES,2,2,55,3.6
CHEVROLET,C25,2,2,51,3.9
CHEVROLET,CHEVETTE,2,2,20,10.0
CHEVROLET,DENALI,2,1,16,12.5
CHEVROLET,G10,2,2,47,4.3
CHEVROLET,K25,2,2,64,3.1
CHEVROLET,K3500,2,2,62,3.2
CHEVROLET,P30,2,2,52,3.8
CHEVROLET,P30 CHASSIS,2,2,13,15.4
CHEVROLET,S UTILITY,2,2,7,28.6
CHEVROLET,S-10,2,2,11,18.2
CHEVROLET,S-BLAZER,2,2,12,16.7
CHEVROLET,SIERRA,2,1,46,4.3
CHEVROLET,SILVERADO CLASSIC,2,1,38,5.3
CHEVROLET,SILVERADO LT,2,2,5,40.0
CHEVROLET,SPARK EV,2,1,29,6.9
CHEVROLET,SUBURBAN 2500,2,1,200,1.0
CHRYSLER,300 LWB,2,2,3,66.7
CHRYSLER,ASPEN 4X2,2,1,55,3.6
CHRYSLER,PT CRUISER CONV,2,1,47,4.3
CHRYSLER,PT CRUISER CONVERTIBLE,2,2,93,2.2
CHRYSLER,TOWN AND COUNTRY LWB,2,2,67,3.0
CHRYSLER,TOWN&COUNTRY LWB,2,2,29,6.9
CLEVELAND CYCLEWERKS,THA MISFIT,2,2,3,66.7
COACHMEN,LEPRECHAUN,2,0,30,6.7
CODA,CODA,2,1,12,16.7
COTTRELL,TRAILER,2,0,3,66.7
CRAVENSPEED,SHIFTER SHAFT,2,2,3,66.7
DAMON,DAMON,2,1,38,5.3
DEBRAAL COMPANY,NEW HORIZON,2,2,2,100.0
DODGE,600,2,2,23,8.7
DODGE,ARIES,2,2,64,3.1
DODGE,B350,2,2,85,2.4
DODGE,COLT VISTA,2,2,29,6.9
DODGE,D150,2,1,24,8.3
DODGE,D250,2,2,27,7.4
DODGE,DURANGO 4X4 HYBRID,2,0,2,100.0
DODGE,MONACO,2,1,81,2.5
DODGE,OMNI,2,1,38,5.3
DUCATI,749,2,1,11,18.2
DUCATI,HYPERMOTARD,2,1,33,6.1
DYNAMAX,ISATA,2,0,28,7.1
FISKER,KARMA,2,0,12,16.7
FLEETWOOD,BOUNDER DIESEL,2,2,28,7.1
FLEETWOOD,FLAIR,2,0,87,2.3
FLEETWOOD,SOUTHWIND,2,2,238,0.8
FLEETWOOD,SOUTHWIND STORM,2,2,15,13.3
FLEETWOOD,TAURUS,2,2,14,14.3
FLEETWOOD,TIOGA,2,1,99,2.0
FORD,E SERIES,2,0,68,2.9
FORD,E150,2,0,117,1.7
FORD,E350,2,2,123,1.6
FORD,EXPLORER INTERCEPT HYBRID,2,1,2,100.0
FORD,F800,2,2,24,8.3
FORD,FOCUS SVT,2,1,48,4.2
FORD,GRAND MARQUIS,2,2,92,2.2
FORD,MOTOR HOME,2,2,151,1.3
FORD,MUSTANG COBRA,2,2,27,7.4
FORD,POLICE INTERCEPTOR UTILIT,2,2,37,5.4
FORD,POWER TRAIN,2,2,64,3.1
FORD,RANGER EV,2,2,31,6.5
FORD,TAURUS (SHO),2,1,15,13.3
FORD,TAURUS POLICE INTERCEPTOR,2,2,15,13.3
FORD,VAN,2,2,16,12.5
FREIGHTLINER,CENTURY,2,2,76,2.6
FREIGHTLINER,CONVENTIONAL,2,1,118,1.7
FREIGHTLINER,FL-70,2,1,51,3.9
FREIGHTLINER,MT,2,2,39,5.1
FREIGHTLINER,SPRINTER 3500,2,1,31,6.5
GEORGIE BOY,GEORGIE BOY,2,2,34,5.9
GMC,C SERIES,2,2,45,4.4
GMC,C SERIES(LIGHT),2,2,45,4.4
GMC,C2500,2,1,56,3.6
GMC,ENVOY 360,2,2,92,2.2
GMC,G35,2,2,10,20.0
GMC,HUMMER EV PICKUP,2,1,25,8.0
GMC,MOTOR HOME,2,2,11,18.2
GMC,SAVANA 2500,2,2,28,7.1
GMC,SIERRA 1500 HD,2,1,58,3.4
GMC,SIERRA CLASSIC,2,1,29,6.9
GMC,SIERRA EV,2,0,28,7.1
GMC,SIERRA HD,2,1,7,28.6
GMC,TAHOE,2,2,27,7.4
GMC,VANDURA,2,1,75,2.7
GMC,Z-71,2,1,41,4.9
GRAND DESIGN,IMAGINE,2,0,105,1.9
GRAND DESIGN,REFLECTION,2,0,207,1.0
HARLEY-DAVIDSON,DYNA,2,1,20,10.0
HARLEY-DAVIDSON,FLDE,2,1,12,16.7
HARLEY-DAVIDSON,FLHP,2,2,33,6.1
HARLEY-DAVIDSON,FLHRS,2,2,4,50.0
HARLEY-DAVIDSON,FLHRXS,2,0,3,66.7
HARLEY-DAVIDSON,FLHTCUSE2,2,2,12,16.7
HARLEY-DAVIDSON,FLHTKL,2,2,11,18.2
HARLEY-DAVIDSON,FLRT,2,1,21,9.5
HARLEY-DAVIDSON,FLSTN,2,2,20,10.0
HARLEY-DAVIDSON,FLTR,2,1,50,4.0
HARLEY-DAVIDSON,FXDC,2,1,28,7.1
HARLEY-DAVIDSON,FXDI,2,1,9,22.2
HARLEY-DAVIDSON,FXLRST,2,0,15,13.3
HARLEY-DAVIDSON,FXRT,2,2,6,33.3
HARLEY-DAVIDSON,ROAD KING,2,1,39,5.1
HARLEY-DAVIDSON,XG500,2,1,22,9.1
HOLIDAY RAMBLER,HOLIDAY RAMBLER,2,2,110,1.8
HONDA,CB250,2,2,5,40.0
HONDA,CB300R,2,2,5,40.0
HONDA,CBR300R,2,2,16,12.5
HONDA,CBR600RR,2,1,36,5.6
HONDA,CBR650R,2,2,4,50.0
HONDA,CMX250,2,2,4,50.0
HONDA,CRF1100,2,1,16,12.5
HONDA,DEL SOL,2,2,75,2.7
HONDA,HONDA MOTORCYCLE,2,2,71,2.8
HONDA,NC700X,2,2,9,22.2
HONDA,NSS250,2,1,9,22.2
HONDA,SXS1000,2,1,12,16.7
HONDA,VT1100,2,2,20,10.0
HONDA MOTORCYCLE,HONDA MOTORCYCLE,2,1,7,28.6
HUSQVARNA,SVARTPILEN 701,2,2,2,100.0
HYOSUNG,GV650,2,2,24,8.3
HYUNDAI,IONIQ 5 N,2,1,27,7.4
HYUNDAI,IONIQ ELECTRIC,2,2,37,5.4
HYUNDAI,XG300L,2,2,16,12.5
INDIAN,CHIEF DARK HORSE,2,1,13,15.4
INDIAN,CHIEFTAIN DARK HORSE,2,2,10,20.0
INFINITI,G25,2,0,43,4.7
INFINITI,Q50 HYBRID,2,0,38,5.3
INTERNATIONAL,4300,2,0,58,3.4
INTERNATIONAL HARVESTER,3800,2,2,45,4.4
INTERNATIONAL HARVESTER,4900,2,2,27,7.4
ISUZU,PICKUP TRUCK,2,1,93,2.2
ITASCA,ITASCA,2,2,61,3.3
ITASCA,NAVION,2,2,36,5.6
ITASCA,SUNCRUISER,2,2,51,3.9
ITASCA,SUNSTAR,2,1,11,18.2
JAGUAR,XJ SEDAN,2,0,32,6.2
JAGUAR,XJV8,2,1,19,10.5
JAGUAR,XK8 SPORTS,2,2,8,25.0
JEEP,COMANCHE,2,1,61,3.3
JEEP,WRANGLER 2-DR 4X4 RHD,2,2,71,2.8
