make,model,suspension_complaints,total_complaints,suspension_share_pct,meets_500_threshold,suspension_model_years,note
BMW,330XI,2,122,1.64,no,2006-2006,
BMW,428I,2,250,0.8,no,2015-2016,
BMW,540I,2,175,1.14,no,1995-2018,
BMW,M ROADSTER,2,4,50.0,no,1999-1999,
BMW,M2,2,35,5.71,no,2018-2021,
BMW,M340I,2,89,2.25,no,2021-2022,
BMW,M6,2,42,4.76,no,2016-2018,
BMW,R 1200 GS ADVENTURE,2,9,22.22,no,2014-2014,
BUELL,XB12X,2,4,50.0,no,2006-2006,
BUICK,ENCORE GX,2,345,0.58,no,2021-2023,
BUICK,ENVISTA,2,141,1.42,no,2024-2026,
CADILLAC,CT4,2,61,3.28,no,2021-2022,
CADILLAC,CT5,2,143,1.4,no,2020-2023,
CADILLAC,DEVILLE,2,251,0.8,no,2001-2003,
CEDAR CREEK,SILVER BACK,2,3,66.67,no,2012-2012,
CH TRAILERS,CH TRAILER,2,4,50.0,no,2017-2017,
CHEVROLET,BLAZER EV,2,167,1.2,no,2024-2024,
CHEVROLET,CAPTIVA,2,455,0.44,no,2014-2014,
CHEVROLET,EXPRESS 3500,2,48,4.17,no,2002-2024,
CHEVROLET,EXPRESS 4500,2,10,20.0,no,2014-2016,
CHEVROLET,G20,2,6,33.33,no,1995-1995,
CHEVROLET,MALIBU CLASSIC,2,134,1.49,no,2004-2007,
CHEVROLET,PRIZM,2,19,10.53,no,1999-2002,
CHEVROLET,SUBURBAN 1500,2,602,0.33,yes,1996-2007,
CHEVROLET,TAHOE HYBRID,2,94,2.13,no,2008-2008,
CHRYSLER,300M,2,79,2.53,no,2000-2004,
CHRYSLER,LHS,2,33,6.06,no,1996-2000,
CHRYSLER,VOYAGER,2,103,1.94,no,2000-2002,
CM TRAILERS,NOMAD,2,3,66.67,no,2014-2014,
COACHMEN,APEX,2,19,10.53,no,2014-2017,
COACHMEN,CHAPARRAL,2,4,50.0,no,2008-2015,
CROSSROADS,SUNSET TRAIL,2,6,33.33,no,2013-2015,
CRUISER RV,VIEWFINDER,2,3,66.67,no,2013-2014,
DODGE,CHARGER EV,2,133,1.5,no,2024-2025,
DODGE,NEON,2,86,2.33,no,2004-2004,
DODGE,NITRO 4X4,2,103,1.94,no,2007-2009,
DODGE,RAM VAN,2,20,10.0,no,2000-2003,
DODGE,RAM WAGON,2,13,15.38,no,1996-2000,
DRV,FULL HOUSE,2,13,15.38,no,2015-2019,
ECLIPSE,STELLAR,2,5,40.0,no,2011-2014,
ENTEGRA,VISION,2,17,11.76,no,2019-2021,
EVERGREEN,TESLA,2,4,50.0,no,2014-2015,
EZ LOADER,T102,2,7,28.57,no,2020-2021,
FLEETWOOD,FLAIR,2,25,8.0,no,2015-2022,
FLEETWOOD,FORTIS,2,7,28.57,no,2020-2020,
FORD,500,2,177,1.13,no,2005-2005,
FORD,CONTOUR,2,26,7.69,no,1996-1998,
FORD,E SERIES,2,13,15.38,no,1997-2000,
FOREST RIVER,BERKSHIRE,2,29,6.9,no,2019-2019,
FOREST RIVER,COLUMBUS,2,14,14.29,no,2018-2024,
FOREST RIVER,EVO,2,4,50.0,no,2013-2016,
FOREST RIVER,ROCKWOOD ULTRA LITE,2,3,66.67,no,2014-2014,
FOREST RIVER,WORK AND PLAY,2,7,28.57,no,2004-2015,
FREIGHTLINER,XC-R,2,7,28.57,no,2014-2014,
GENESIS,G80,2,303,0.66,no,2018-2019,
GENESIS,GV80,2,284,0.7,no,2021-2026,
GMC,ENVOY 360,2,51,3.92,no,2002-2004,
GMC,HUMMER EV SUV,2,29,6.9,no,2025-2025,
GMC,SIERRA EV,2,28,7.14,no,2026-2026,
GMC,SONOMA,2,30,6.67,no,2003-2003,
GREAT DANE,DRY FREIGHT VAN,2,2,100.0,no,2015-2015,
GULF STREAM,VINTAGE CRUISER,2,3,66.67,no,2018-2022,
HARLEY-DAVIDSON,FLHT,2,15,13.33,no,2001-2019,
HARLEY-DAVIDSON,FLHX,2,140,1.43,no,2024-2024,
HARLEY-DAVIDSON,FLHXS,2,52,3.85,no,2017-2017,
HEARTLAND,BIG HORN,2,18,11.11,no,2015-2015,
HEARTLAND,BIGHORN,2,10,20.0,no,2015-2016,
HEARTLAND,PIONEER,2,8,25.0,no,2016-2017,
HOLIDAY RAMBLER,NEPTUNE,2,4,50.0,no,2004-2008,
HOLIDAY RAMBLER,VACATIONER,2,19,10.53,no,2021-2025,
HONDA,S2000,2,18,11.11,no,2000-2005,
HYUNDAI,ELANTRA HYBRID,2,229,0.87,no,2021-2023,
HYUNDAI,ELANTRA N,2,60,3.33,no,2023-2023,
HYUNDAI TRANSLEAD,VAN TRAILER,2,3,66.67,no,2016-2016,
IC BUS,PB105,2,11,18.18,no,2023-2023,
INDIAN,PURSUIT DARK HORSE,2,7,28.57,no,2023-2023,
INFINITI,EX35,2,63,3.17,no,2008-2008,
INFINITI,G25,2,35,5.71,no,2011-2011,
INFINITI,M37,2,84,2.38,no,2011-2013,
INFINITI,QX50,2,399,0.5,no,2019-2019,
INTERNATIONAL,4300,2,17,11.76,no,2004-2007,
INTERNATIONAL,PROSTAR,2,28,7.14,no,2011-2013,
INTERNATIONAL,RH,2,2,100.0,no,2023-2023,
ISUZU,AXIOM,2,26,7.69,no,2002-2002,
JAGUAR,F-TYPE,2,59,3.39,no,2016-2018,
JAGUAR,X-TYPE,2,47,4.26,no,2002-2005,
JAGUAR,XJL,2,12,16.67,no,2012-2012,
JAYCO,GREYHAWK,2,28,7.14,no,2017-2021,
JAYCO,SENECA,2,22,9.09,no,2007-2019,
JAYCO FIFTH WHEEL,EAGLE HT,2,7,28.57,no,2019-2021,
JAYCO TRAVEL TRAILER,JAY FLIGHT SLX,2,31,6.45,no,2017-2021,
JEEP,WRANGLER 4-DR 4X4 RHD,2,7,28.57,no,2009-2009,
JEEP,WRANGLER 4XE,2,403,0.5,no,2024-2024,
KENWORTH,T2000,2,5,40.0,no,1998-2007,
KEYSTONE,DUTCHMEN,2,2,100.0,no,2016-2016,
KEYSTONE,MONTANA HIGH COUNTRY,2,18,11.11,no,2015-2018,
KEYSTONE,SPRINTER,2,14,14.29,no,2007-2013,
KZRV,DURANGO,2,11,18.18,no,2022-2024,
LEXUS,CT,2,164,1.22,no,2013-2013,
LEXUS,GS 350,2,126,1.59,no,2013-2013,
LEXUS,LS430,2,21,9.52,no,2005-2005,
LEXUS,LS460,2,155,1.29,no,2007-2009,
LEXUS,LX,2,63,3.17,no,2013-2013,
LEXUS,NX,2,338,0.59,no,2017-2019,
LINCOLN,MARK VIII,2,12,16.67,no,1998-1998,
LINCOLN,MKZ HYBRID,2,216,0.93,no,2011-2011,
LINCOLN,NAUTILUS,2,319,0.63,no,2019-2020,
LIPPERT,"SPRING HANGERS (4.25"")",2,4,50.0,no,,
LOOK,CARGO TRAILER,2,4,50.0,no,2016-2018,
MASERATI,LEVANTE,2,52,3.85,no,2017-2019,
MAZDA,CX-70,2,86,2.33,no,2025-2025,
MAZDA,PROTEGE,2,47,4.26,no,2002-2003,
MERCEDES BENZ,300E,2,8,25.0,no,1991-1993,
MERCEDES BENZ,C240,2,73,2.74,no,2001-2005,
MERCEDES BENZ,C320,2,64,3.12,no,2002-2004,
MERCEDES BENZ,C350,2,230,0.87,no,2008-2009,
MERCEDES BENZ,CLS500,2,41,4.88,no,2006-2007,
MERCEDES-BENZ,AMG C43,2,79,2.53,no,2020-2023,
MERCEDES-BENZ,AMG C63,2,33,6.06,no,2017-2017,
MERCEDES-BENZ,AMG GLB35,2,14,14.29,no,2021-2022,
MERCEDES-BENZ,AMG GLC43,2,50,4.0,no,2019-2019,
MERCEDES-BENZ,AMG GLS63,2,10,20.0,no,2019-2019,
MERCEDES-BENZ,AMG ML63,2,13,15.38,no,2013-2014,
MERCEDES-BENZ,AMG S63,2,19,10.53,no,2018-2018,
MERCEDES-BENZ,C 300,2,671,0.3,yes,2017-2017,
MERCEDES-BENZ,C 300 4MATIC,2,13,15.38,no,2021-2024,
MERCEDES-BENZ,CLS 450,2,33,6.06,no,2019-2019,
MERCEDES-BENZ,G 550,2,24,8.33,no,2019-2021,
MERCEDES-BENZ,GL550,2,68,2.94,no,2014-2014,
MERCEDES-BENZ,GLC300,2,306,0.65,no,2016-2017,
MERCEDES-BENZ,GLE 450,2,122,1.64,no,2020-2022,
MERCEDES-BENZ,GLE450,2,43,4.65,no,2016-2016,
MERCEDES-BENZ,GLS 550,2,12,16.67,no,2018-2019,
MERCEDES-BENZ,GLS450,2,102,1.96,no,2017-2017,
MERCEDES-BENZ,S400,2,34,5.88,no,2010-2011,
MERCEDES-BENZ,S560,2,25,8.0,no,2018-2019,
MERCURY,COUGAR,2,76,2.63,no,1994-2002,
MERCURY,MONTEREY,2,101,1.98,no,2004-2004,
MICHELIN,PILOT SPORT 4S,2,34,5.88,no,,
MITSUBISHI,LANCER WAGON,2,4,50.0,no,2004-2004,
MITSUBISHI,MONTERO SPORT,2,53,3.77,no,1997-2000,
MONACO COACH,CAYMAN,2,4,50.0,no,2005-2008,
MONACO COACH,SIGNATURE,2,3,66.67,no,2000-2001,
MONROE,STRUTS,2,5,40.0,no,,
MOOG,BALL JOINT,2,3,66.67,no,,
NEWMAR,BAY STAR,2,56,3.57,no,2012-2021,
NISSAN,NISSAN,2,15,13.33,no,,
OLDSMOBILE,AURORA,2,44,4.55,no,2001-2002,
PALOMINO,COLUMBUS,2,11,18.18,no,2013-2018,
PIERCE,ARROW XT,2,8,25.0,no,2016-2016,
PLYMOUTH,NEON,2,24,8.33,no,2000-2001,
PONTIAC,G5,2,197,1.02,no,2007-2008,
PONTIAC,GRAND AM,2,411,0.49,no,2003-2005,
PONTIAC,GTO,2,20,10.0,no,2005-2005,
PORSCHE,MACAN,2,306,0.65,no,2015-2016,
PRIME TIME,TRACER,2,8,25.0,no,2019-2022,
RAM,PROMASTER 2500,2,52,3.85,no,2015-2015,
RIVIAN,EDV,2,25,8.0,no,2023-2023,
SATURN,L200,2,28,7.14,no,2003-2003,
SATURN,LW200,2,18,11.11,no,2000-2001,
SATURN,SKY,2,348,0.57,no,2007-2009,
SCION,FR-S,2,219,0.91,no,2013-2015,
SUBARU,BRZ,2,112,1.79,no,2016-2020,
SUZUKI,EQUATOR,2,9,22.22,no,2010-2010,
SUZUKI,KIZASHI,2,90,2.22,no,2010-2012,
SUZUKI,SX4,2,121,1.65,no,2007-2008,
SYM,SYMBA,2,6,33.33,no,2010-2011,
TAXA,CRICKET,2,9,22.22,no,2021-2021,
TEMSA,TS45,2,4,50.0,no,2015-2016,
THOR MOTOR COACH,AXIS,2,25,8.0,no,2016-2021,
THOR MOTOR COACH,FREEDOM TRAVELER,2,11,18.18,no,2021-2022,
THOROUGHBRED TRAILERS,THOROUGHBRED TRAILERS,2,2,100.0,no,,
TIFFIN,ALLEGRO RED,2,33,6.06,no,2014-2015,
TOYOTA,COROLLA MATRIX,2,386,0.52,no,2004-2009,
TOYOTA,GR COROLLA,2,45,4.44,no,2023-2025,
TOYOTA,HIGHLANDER HYBRID,2,490,0.41,no,2019-2019,
TOYOTA,MATRIX,2,466,0.43,no,2006-2010,
TOYOTA,PRERUNNER,2,9,22.22,no,2001-2001,
TOYOTA,PRIUS PLUG-IN HYBRID,2,93,2.15,no,2012-2013,
TOYOTA,SCION TC,2,23,8.7,no,2007-2008,
TOYOTA,SUPRA,2,65,3.08,no,2020-2020,
TOYOTA,VENZA HYBRID,2,392,0.51,no,2021-2022,
VOLKSWAGEN,GOLF R,2,120,1.67,no,2013-2015,
VOLKSWAGEN,RABBIT,2,169,1.18,no,2007-2009,
VOLVO,780,2,9,22.22,no,2009-2016,
VOLVO,C40BEV,2,67,2.99,no,2023-2023,
VOLVO,C70,2,113,1.77,no,2012-2013,
VOLVO,S90,2,47,4.26,no,2017-2020,
VOLVO,V50,2,18,11.11,no,2005-2005,
VOLVO,VOLVO,2,7,28.57,no,,
VOLVO,XC40,2,329,0.61,no,2019-2022,
WINNEBAGO,ADVENTURER,2,39,5.13,no,2022-2022,
WINNEBAGO,MICRO MINNIE,2,17,11.76,no,2021-2021,
WINNEBAGO,RIALTA,2,7,28.57,no,1998-2002,
YAMAHA,FZ-09,2,17,11.76,no,2015-2015,
YAMAHA,XVS950,2,19,10.53,no,2009-2019,
4-STAR TRAILER,CARGO GOOSENECK,1,8,12.5,no,2005-2005,
4-STAR TRAILER,HORSE TRAILER,1,2,50.0,no,2019-2019,
ACURA,MDX TYPE S,1,34,2.94,no,2022-2022,
ACURA,TLX TYPE S,1,56,1.79,no,2021-2021,
AIRSTREAM,BASECAMP,1,15,6.67,no,2020-2020,
AIRSTREAM,INTERSTATE,1,14,7.14,no,2016-2016,
AIRSTREAM,TRADE WIND,1,2,50.0,no,2025-2025,
ALCOM,ALCOM,1,2,50.0,no,2019-2019,
ALFA ROMEO,STELVIO,1,347,0.29,no,2019-2019,
ALINER,CAMPER TRAILER,1,2,50.0,no,2021-2021,
ALLIANCE RV,AVENUE,1,7,14.29,no,2022-2022,
ALLIANCE RV,PARADIGM,1,16,6.25,no,2021-2021,
AMERICAN COACH,AMERICAN DREAM,1,1,100.0,no,2020-2020,
AMERICAN HAULER,SILVER HAWK,1,1,100.0,no,2022-2022,
AMERITRANS,RAM CHASSIS 5500,1,3,33.33,no,2013-2013,
ARCTIC CAT,700 EFI,1,1,100.0,no,2006-2006,
ASTON MARTIN,V8 VANTAGE,1,13,7.69,no,2008-2008,
ATRO,ATRO,1,1,100.0,no,2022-2022,
AUDI,A3 ETRON,1,5,20.0,no,2019-2019,
AUDI,A4 AVANT,1,71,1.41,no,2011-2011,
AUDI,A6 ALLROAD,1,36,2.78,no,2020-2020,
AUDI,ALLROAD,1,47,2.13,no,2013-2013,
AUDI,E-TRON,1,228,0.44,no,2019-2019,
AUDI,Q4 E-TRON,1,80,1.25,no,2023-2023,
AUDI,Q6 E-TRON,1,75,1.33,no,2025-2025,
AUDI,RS E-TRON GT,1,12,8.33,no,2023-2023,
AUDI,S E-TRON GT,1,1,100.0,no,2026-2026,
AUDI,S4,1,241,0.41,no,2018-2018,
AUDI,S7,1,85,1.18,no,2013-2013,
AUDI,S8,1,50,2.0,no,2016-2016,
AUDI,SQ8,1,17,5.88,no,2021-2021,
AUDI,TT,1,71,1.41,no,2000-2000,
BEAR TRAILER,BEAR TRAILER,1,1,100.0,no,2020-2020,
BENTLEY,ARNAGE,1,2,50.0,no,2005-2005,
BIG TEX,BIG TEX,1,3,33.33,no,2021-2021,
BISON,RANGER,1,7,14.29,no,2018-2018,
BISON,STRATUS,1,3,33.33,no,2011-2011,
BMW,1 SERIES,1,94,1.06,no,2004-2004,
BMW,228I,1,92,1.09,no,2020-2020,
BMW,230I,1,39,2.56,no,2025-2025,
BMW,323CI,1,14,7.14,no,2000-2000,
BMW,325,1,37,2.7,no,1999-1999,
BMW,328,1,116,0.86,no,2011-2011,
BMW,330CI,1,157,0.64,no,2001-2001,
BMW,335XI,1,114,0.88,no,2009-2009,
BMW,435I,1,62,1.61,no,2015-2015,
BMW,535I US,1,14,7.14,no,2011-2011,
BMW,550I GRAN TURISMO,1,27,3.7,no,2012-2012,
BMW,640I,1,37,2.7,no,2018-2018,
BMW,645CI,1,30,3.33,no,2005-2005,
BMW,7 SERIES,1,34,2.94,no,2007-2007,
BMW,740LI,1,40,2.5,no,2012-2012,
BMW,745LI,1,55,1.82,no,2003-2003,
BMW,750I,1,177,0.56,no,2017-2017,
BMW,750I US,1,8,12.5,no,2011-2011,
BMW,750IX,1,12,8.33,no,2012-2012,
BMW,750LIX,1,6,16.67,no,2011-2011,
BMW,760LI,1,10,10.0,no,2006-2006,
BMW,850GS,1,2,50.0,no,2019-2019,
BMW,F 800 ST,1,8,12.5,no,2007-2007,
BMW,I4 EDRIVE40,1,12,8.33,no,2025-2025,
BMW,I8,1,13,7.69,no,2014-2014,
BMW,IX,1,186,0.54,no,2024-2024,
BMW,K 1200 S,1,6,16.67,no,2006-2006,
BMW,K1200 LT,1,1,100.0,no,2005-2005,
BMW,K1200LT,1,21,4.76,no,2003-2003,
BMW,K1300 GT,1,8,12.5,no,2010-2010,
BMW,M COUPE,1,2,50.0,no,2000-2000,
BMW,M5,1,82,1.22,no,2013-2013,
BMW,R 1300 GS,1,3,33.33,no,2024-2024,
BMW,R 1300 RT,1,3,33.33,no,2026-2026,
BMW,X5 DIESEL SAV,1,52,1.92,no,2011-2011,
BMW,X5 SAV,1,194,0.52,no,2007-2007,
BMW,XM,1,20,5.0,no,2024-2024,
BRINKLEY RV,MODEL Z,1,9,11.11,no,2026-2026,
BUICK,PARK AVENUE,1,83,1.2,no,1998-1998,
BUICK,ROADMASTER,1,5,20.0,no,1996-1996,
C&B QUALITY TRAILER WORKS,HORSE TRAILER,1,1,100.0,no,2015-2015,
CADILLAC,ESCALADE HYBRID,1,24,4.17,no,2009-2009,
CADILLAC,LYRIQ,1,228,0.44,no,2025-2025,
CADILLAC,XT6,1,143,0.7,no,2023-2023,
CAN-AM,COMMANDER,1,4,25.0,no,2020-2020,
CARGO MATE,ELIMINATOR,1,6,16.67,no,2016-2016,
CARRY-ON,OPEN BED TRAILER,1,2,50.0,no,2019-2019,
CARRY-ON TRAILER,5X8CG,1,3,33.33,no,2006-2006,
CHAMPION BUS,CHALLENGER,1,5,20.0,no,2020-2020,
CHEROKEE,GREY WOLF,1,4,25.0,no,2016-2016,
CHEVROLET,3500,1,22,4.55,no,2016-2016,
CHEVROLET,C/K PICKUPS,1,7,14.29,no,1999-1999,
CHEVROLET,C30,1,3,33.33,no,1995-1995,
CHEVROLET,EXPRESS 2500,1,20,5.0,no,2006-2006,
CHEVROLET,ORLANDO,1,3,33.33,no,2015-2015,
CHEVROLET,SILVERADO 1500 HD,1,36,2.78,no,2005-2005,
CHEVROLET,SILVERADO 5500,1,7,14.29,no,2024-2024,
CHEVROLET,SILVERADO HD,1,10,10.0,no,2015-2015,
CHEVROLET,VENTURE,1,88,1.14,no,2005-2005,
CHRYSLER,200 CONVERTIBLE,1,31,3.23,no,2011-2011,
CHRYSLER,ASPEN 4X2,1,18,5.56,no,2007-2007,
CHRYSLER,CONCORDE,1,41,2.44,no,2004-2004,
CHRYSLER,CROSSFIRE,1,229,0.44,no,2007-2007,
CHRYSLER,CROSSFIRE CONVERTIBLE,1,83,1.2,no,2005-2005,
CHRYSLER,PACIFICA AWD,1,29,3.45,no,2007-2007,
CHRYSLER,SEBRING CONV,1,103,0.97,no,2008-2008,
COACHMEN,BLAST,1,2,50.0,no,2015-2015,
COACHMEN,CLIPPER,1,7,14.29,no,2020-2020,
COACHMEN,FREELANDER,1,15,6.67,no,2024-2024,
COACHMEN,LEPRECHAUN,1,11,9.09,no,2019-2019,
COACHMEN,PURSUIT,1,13,7.69,no,2012-2012,
CONTINENTAL CARGO,CARGO TRAILER,1,5,20.0,no,2012-2012,
COTTRELL,TRAILER,1,3,33.33,no,2007-2007,
COUNTRY COACH,MAGNA,1,1,100.0,no,2008-2008,
CRAFTSMEN,LINCOLN TOWN CAR,1,7,14.29,no,1999-1999,
CRITERION,CARGO TRAILER,1,3,33.33,no,2023-2023,
CROSSROADS,ZINGER,1,4,25.0,no,2013-2013,
CRUISER,AVENIR,1,2,50.0,no,2025-2025,
CRUISER,TWILIGHT,1,2,50.0,no,2021-2021,
CRUISER RV,FUN FINDER EXTREME LITE,1,1,100.0,no,2019-2019,
CRUISER RV,RADIANCE,1,2,50.0,no,2015-2015,
CRUISER RV,SHADOW CRUISER,1,7,14.29,no,2019-2019,
DAMON,ASTORIA,1,4,25.0,no,2007-2007,
DAMON,OUTLAW,1,4,25.0,no,2008-2008,
DEXTER AXLE,AXLE ASSEMBLY,1,4,25.0,no,,
DODGE,CHARGER AWD,1,30,3.33,no,2007-2007,
DODGE,CHARGER POLICE,1,38,2.63,no,2012-2012,
DODGE,DODGE,1,27,3.7,no,,
DODGE,DURANGO 4X4,1,30,3.33,no,2007-2007,
DODGE,HORNET,1,92,1.09,no,2024-2024,
DODGE,JOURNEY AWD,1,198,0.51,no,2009-2009,
DODGE,NEON RT,1,4,25.0,no,2001-2001,
DODGE,NITRO 4X2,1,52,1.92,no,2007-2007,
DODGE,RAM QUAD CAB,1,31,3.23,no,2003-2003,
DODGE,SPRINTER,1,41,2.44,no,2007-2007,
DODGE,SPRINTER 2500,1,101,0.99,no,2008-2008,
DODGE,VIPER,1,28,3.57,no,2005-2005,
DODGE,W250,1,4,25.0,no,1990-1990,
DODGEN,BORN FREE MOBILITY,1,1,100.0,no,2014-2014,
DORMAN,CONTROL ARM,1,2,50.0,no,,
DRV,MOBILE SUITE,1,18,5.56,no,2016-2016,
DUCATI,XDIAVEL,1,5,20.0,no,2016-2016,
DUTCHMEN,ASTORIA,1,1,100.0,no,2020-2020,
DUTCHMEN,DENALI,1,8,12.5,no,2012-2012,
DUTCHMEN,DUTCHMEN,1,2,50.0,no,2013-2013,
DUTCHMEN,KODIAK,1,7,14.29,no,2018-2018,
DUTCHMEN,VOLTAGE,1,8,12.5,no,2017-2017,
DYNAMAX,EUROPA,1,5,20.0,no,2023-2023,
ECHO TRAILER,PONTOON BOAT TRAILER,1,1,100.0,no,2016-2016,
ELDORADO MOBILITY,AMERIVAN,1,1,100.0,no,2015-2015,
ENTEGRA,ASPIRE,1,48,2.08,no,2018-2018,
ENTEGRA,EMBLEM,1,1,100.0,no,2020-2020,
ENTEGRA,ETHOS,1,5,20.0,no,2025-2025,
ENTEGRA,ODYSSEY,1,9,11.11,no,2021-2021,
EVERGREEN,EVER-LITE,1,2,50.0,no,2015-2015,
EVERGREEN,I-GO,1,1,100.0,no,2016-2016,
EZ LOADER,ADJUSTABLE ALUM TRAILER,1,3,33.33,no,2015-2015,
EZ LOADER,BOAT TRAILER,1,6,16.67,no,2014-2014,
EZ LOADER,TEZL,1,3,33.33,no,2018-2018,
FAYMONVILLE,LOWBOY GOOSENECK,1,2,50.0,no,2026-2026,
FCCC,MCL,1,3,33.33,no,2012-2012,
FLEETWOOD,AMERICAN TRADITION,1,6,16.67,no,2000-2000,
FLEETWOOD,DISCOVERY,1,13,7.69,no,2021-2021,
FLEETWOOD,PROWLER,1,2,50.0,no,2006-2006,
FLEETWOOD,REGAL,1,1,100.0,no,2004-2004,
FLEETWOOD,STORM,1,14,7.14,no,2015-2015,
FLEETWOOD,TERRA,1,7,14.29,no,2013-2013,
FLEETWOOD,WILDERNESS,1,3,33.33,no,2006-2006,
FORD,C-MAX ENERGI,1,169,0.59,no,2013-2013,
FORD,CVPI,1,3,33.33,no,1999-1999,
FORD,ECONOLINE,1,29,3.45,no,2016-2016,
FORD,ESCAPE HEV,1,14,7.14,no,2006-2006,
FORD,ESCAPE PHEV,1,162,0.62,no,2022-2022,
FORD,ESCORT,1,28,3.57,no,1992-1992,
FORD,EXPLORER SPORT,1,46,2.17,no,2002-2002,
FORD,F SERIES,1,21,4.76,no,1997-1997,
FORD,F-650 SD,1,33,3.03,no,2016-2016,
FORD,F550,1,5,20.0,no,2017-2017,
FORD,FOCUS ELECTRIC,1,179,0.56,no,2012-2012,
FORD,FORD GT,1,4,25.0,no,2006-2006,
FORD,FUSION ENERGI,1,385,0.26,no,2015-2015,
FORD,MOTOR HOME,1,5,20.0,no,1996-1996,
FORD,POLICE INTERCEPTOR SEDAN,1,16,6.25,no,2013-2013,
FORD,RANGER EV,1,4,25.0,no,2001-2001,
FORD,REDUNDANT C-MAX HYBRID,1,127,0.79,no,2013-2013,
FORD,REDUNDANT F-250,1,4,25.0,no,2015-2015,
FORD,STRIPPED CHASSIS,1,9,11.11,no,2015-2015,
FORD,TAURUS POLICE INTERCEPTOR,1,15,6.67,no,2013-2013,
FOREST RIVER,BLUE RIDGE,1,18,5.56,no,2017-2017,
FOREST RIVER,CARGO MATE,1,4,25.0,no,2022-2022,
FOREST RIVER,CHEROKEE WOLF PUP,1,7,14.29,no,2024-2024,
FOREST RIVER,CRUSADER,1,15,6.67,no,2017-2017,
FOREST RIVER,DYNAMAX,1,8,12.5,no,2015-2015,
FOREST RIVER,FIFTH WHEEL,1,3,33.33,no,1999-1999,
FOREST RIVER,FORESTER,1,47,2.13,no,2022-2022,
FOREST RIVER,HAULIN,1,1,100.0,no,2017-2017,
FOREST RIVER,IMPRESSION,1,6,16.67,no,2018-2018,
FOREST RIVER,NOMAD,1,1,100.0,no,2022-2022,
FOREST RIVER,PRIME TIME,1,7,14.29,no,2016-2016,
FOREST RIVER,RIVERSTONE,1,4,25.0,no,2016-2016,
FOREST RIVER,ROCKPORT,1,3,33.33,no,2019-2019,
FOREST RIVER,SHOCKWAVE,1,5,20.0,no,2022-2022,
FOREST RIVER,STEALTH,1,9,11.11,no,2010-2010,
FOREST RIVER,VLITE,1,2,50.0,no,2012-2012,
FOREST RIVER,WOLF PACK,1,4,25.0,no,2010-2010,
FRACTAL,CARGO ENCLOSED TRAILER,1,2,50.0,no,2023-2023,
FREEDOM TRAILERS,FREEDOM TRAILERS,1,7,14.29,no,2019-2019,
FREIGHTLINER,M2,1,35,2.86,no,2012-2012,
FREIGHTLINER,SPRINTER 2500,1,48,2.08,no,2008-2008,
FRONTIER,AMBASSADOR,1,2,50.0,no,2019-2019,
GENESIS,G70,1,211,0.47,no,2020-2020,
GENESIS,GV60,1,113,0.88,no,2023-2023,
GEO,PRIZM,1,5,20.0,no,1996-1996,
GLAVAL,FORD F150,1,4,25.0,no,1997-1997,
GLAVAL,JEEP CHEROKEE,1,3,33.33,no,1996-1996,
GMC,C SERIES,1,12,8.33,no,1996-1996,
GMC,C1500 SUBURBAN,1,3,33.33,no,1999-1999,
GMC,DENALI,1,84,1.19,no,2015-2015,
GMC,ENVOY XL 370,1,42,2.38,no,2006-2006,
GMC,HUMMER EV PICKUP,1,28,3.57,no,2022-2022,
GMC,JIMMY,1,38,2.63,no,1998-1998,
GMC,SAFARI,1,11,9.09,no,2000-2000,
GMC,SAVANA 2500,1,3,33.33,no,2009-2009,
GMC,SAVANA 3500,1,12,8.33,no,2009-2009,
GMC,W3500,1,4,25.0,no,2007-2007,
GMC,YUKON XL 1500,1,137,0.73,no,2004-2004,
GRAND DESIGN,LINEAGE,1,5,20.0,no,2025-2025,
GRAND DESIGN,TRANSCEND,1,16,6.25,no,2021-2021,
HARLEY-DAVIDSON,1200,1,1,100.0,no,2002-2002,
HARLEY-DAVIDSON,DYNA,1,4,25.0,no,2012-2012,
HARLEY-DAVIDSON,ELECTRA GLIDE,1,3,33.33,no,1999-1999,
HARLEY-DAVIDSON,FLDE,1,12,8.33,no,2018-2018,
HARLEY-DAVIDSON,FLFBS,1,4,25.0,no,2018-2018,
HARLEY-DAVIDSON,FLHP,1,21,4.76,no,2015-2015,
HARLEY-DAVIDSON,FLHPEI,1,3,33.33,no,2002-2002,
HARLEY-DAVIDSON,FLHTC,1,35,2.86,no,2013-2013,
HARLEY-DAVIDSON,FLHTCI,1,3,33.33,no,2001-2001,
HARLEY-DAVIDSON,FLHTCU103,1,10,10.0,no,2012-2012,
HARLEY-DAVIDSON,FLHTCUI,1,10,10.0,no,1998-1998,
HARLEY-DAVIDSON,FLHTCUTG,1,74,1.35,no,2017-2017,
HARLEY-DAVIDSON,FLHTKL,1,11,9.09,no,2016-2016,
HARLEY-DAVIDSON,FLHTKSE,1,15,6.67,no,2015-2015,
HARLEY-DAVIDSON,FLHXSE,1,19,5.26,no,2016-2016,
HARLEY-DAVIDSON,FLSB,1,4,25.0,no,2019-2019,
HARLEY-DAVIDSON,FLTRU,1,33,3.03,no,2011-2011,
HARLEY-DAVIDSON,FLTRUSE,1,11,9.09,no,2011-2011,
HARLEY-DAVIDSON,FLTRXS,1,59,1.69,no,2020-2020,
